বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
১০০ সুসাব্যস্ত হাদিস,১,সহিহ হাদিস,,বারা ইবনে আ’যেব (রাঃ) থেকে বর্ণিত:,"নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বারা ইবনে আ’যেব (রাঃ)-কে বলেন, “যখন তুমি তোমার শয্যা গ্রহনের ইচ্ছা করবে, তখন নামাযের ন্যায় ওজু করে ডান কাত হয়ে শয়ন করবে।’’ (বুখারী ৬৩১১, মুসলিম ৬৮৮২)"
১০০ সুসাব্যস্ত হাদিস,২,সহিহ হাদিস,,আয়েশা (রাঃ) থেকে বর্ণিত:,"নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) প্রতি রাত্রে শয্যা গ্রহনের সময় তালুদ্বয় একত্রিত করে তাতে সূরা ইখলাস, ফালাক ও নাস পড়ে ফুঁ দিতেন। অতঃপর হাতদ্বয় দ্বারা শরীরের যতদূর পর্যন্ত বুলানো সম্ভব হতো, ততদূর পর্যন্ত বুলিয়ে নিতেন। স্বীয় মাথা, চেহারা এবং শরীরের সামনের দিক থেকে আরম্ভ করতেন। এইভাবে তিনি তিনবার করতেন।’’ (বুখারী ৫০১৭)"
১০০ সুসাব্যস্ত হাদিস,৩,সহিহ হাদিস,,আলী (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, ফাতিমা (রাঃ) রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) এর কাছে একটি চাকর চাইলে, তিনি বললেন, “আমি কি তোমাদের দু’জনকে এমন জিনিস বলে দেবো না, যা তোমাদের চাকরের চেয়ে উত্তম? তোমরা যখন বিছানায় শুতে যাবে, তখন ৩৪ বার আল্লাহু আকবর, ৩৩ বার সুবহানাল্লাহ এবং ৩৩ বার আলহামদুলিল্লাহ পড়বে। এটা তোমাদের চাকরের চেয়েও উত্তম।” (বুখারী ৬৩১৮, মুসলিম ৬৯১৫)"
১০০ সুসাব্যস্ত হাদিস,৪,সহিহ হাদিস,,উবাদা ইবনে সামিত (রাঃ) থেকে বর্ণিত:,"উবাদা ইবনে সামিত (রাঃ) নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) থেকে বর্ণনা করেন, তিনি বলেন, ‘যে ব্যক্তি রাত্রে নিদ্রা ভঙ্গ হলে বলে, (লা-ইলাহা ইল্লাল্লা-হু ওয়াহদাহু লা-শারীকা লাহু লাহুল মুলকু ওয়া সুবহানাল্লা-হ আল্লাহু আকবার ওয়ালা হাউলা ওয়ালা কুওয়াতা ইল্লা বিল্লা-হ।) অর্থাৎ, আল্লাহ্ ছাড়া সত্যিকার কোন উপাস্য নেই। তিনি এক ও একক। তাঁর কোন শরীক নেই। রাজত্ব ও সমস্ত প্রশংসা তাঁরই। তিনি সব কিছুর উপর ক্ষমতাশীল। আল্লাহ্‌রই সমস্ত প্রশংসা। তিনি পূত-পবিত্র ও মহান। তাঁর সাহায্য ব্যতীত কারো ভাল কাজ করার ও মন্দ কাজ থেকে বেঁচে থাকার শক্তি নেই। তারপর সে যদি আল্লাহ্‌র নিকট ক্ষমা প্রার্থনা করে বলে, “হে আল্লাহ্! আমাকে ক্ষমা করে দাও, অথবা অন্য দুয়া করে, তাহলে তার দু’আ কবুল হয়।” (বুখারী ১১৫৪)"
১০০ সুসাব্যস্ত হাদিস,৫,সহিহ হাদিস,,বর্ণনাকারী থেকে বর্ণিত:,"“আলহামদুলিল্লা হিল্লাযী আহইয়ানা বা’দামা-আমাতানা ওয়া ইলাই-হিন্নুশূর” অর্থাৎ, সেই আল্লাহ্‌র সমস্ত প্রশংসা যিনি আমাকে মৃত্যুর পর আবার জীবিত করলেন। আর তাঁরই নিকটে প্রত্যাবর্তন করতে হবে। (হাদীসটি ইমাম বুখারী হুযায়ফা ইবনে ইয়ামান (রাঃ) থেকে বর্ণনা করেছেন।"
,,,,,
১০০ সুসাব্যস্ত হাদিস,৬,সহিহ হাদিস,,আব্দুল্লাহ ইবনে যায়েদ (রাঃ) থেকে বর্ণিত:,রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) এক অঞ্জলি পানি দিয়ে কুলি করেছেন ও নাকে দিয়েছেন। (মুসলিম ৫৫৫)
১০০ সুসাব্যস্ত হাদিস,৭,সহিহ হাদিস,,আয়েশা (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) যখন ফরয গোসল করতেন, তখন প্রথমে স্বীয় হস্তদ্বয় ধৌত করতেন। অতঃপর নামাযের ওযূর ন্যায় ওযূ করতেন। তারপর তাঁর দু’হাত দিয়ে তিন অঞ্জলি পানি নিজের মাথায় ঢালতেন। পরিশেষে সমপ্ত শরীরে পানি ঢেলে দিতেন।” (বুখারী ২৩৪)"
১০০ সুসাব্যস্ত হাদিস,৮,সহিহ হাদিস,,উমার ইবনে খাত্তাব (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেন, “তোমাদের মধ্যে যে কেউ সুন্দর করে অযূ করে বলে, ‘আশহাদু আনলা ইলাহা ইল্লা-ল্লাহু ওয়া আন্না মুহাম্মাদান আ’বদুহু ওয়া রাসূলুহ’ তাঁর জন্য জান্নাতের আটটি দরজা খুলে দেওয়া হবে। সে যেটা দিয়ে ইচ্ছা প্রবেশ করবে।” (মুসলিম ২৩৪)"
১০০ সুসাব্যস্ত হাদিস,৯,সহিহ হাদিস,,আনাস (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) একসা’ হতে পাঁচ মুদ (কম-বেশী ২৫০০ থেকে ৩১২৫ গ্রাম) পর্যন্ত পানি দিয়ে গোসল এবং এক মুদ (কম-বেশী ৬২৫গ্রাম) পানি দিয়ে ওযু করতেন।” (বুখারী ২০১, মুসলিম ৩২৫)"
