বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
১০০ সুসাব্যস্ত হাদিস,৭৪,সহিহ হাদিস,,আবূ হুরায়রা (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেন, “যে ব্যাক্তি জ্ঞানার্জনের জন্য কোন পথে চলে, আল্লাহ্‌র তার জন্য জান্নাতের পথ সহজ করে দেন।” (মুসলিম ২৬৯৯)"
১০০ সুসাব্যস্ত হাদিস,৭৫,সহিহ হাদিস,,আবূ মুসা আশা’আরী (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেন, “তিনবার অনুমতি চাইবে। অনুমতি দিলে প্রবেশ করবে, অন্যথায় ফিরে যাবে।” (বুখারী ৬২৪৫, মুসলিম ২১৫৩)"
১০০ সুসাব্যস্ত হাদিস,৭৬,সহিহ হাদিস,,আবূ মুসা আশা’আরী (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আমার এক পুত্র সন্তান জন্ম গ্রহন করলো। আমি তাকে নিয়ে নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-এর নিকট উপস্থিত হলাম। তিনি তার নাম রাখলেন, ইবরাহীম এবং খেজুর চিবিয়ে তার মুখে দিয়ে তার জন্য বরকতের দুআ করলেন। (বুখারী ৫৪৬৭, মুসলিম ২১৪৫)"
১০০ সুসাব্যস্ত হাদিস,৭৭,সহিহ হাদিস,,আয়েশা (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) আমাদেরকে নির্দেশ দিয়েছেন মেয়ের পক্ষ থেকে একটি এবং ছেলের পক্ষ থেকে দু’টি ছাগল আক্বীক্বা করার। (আহমদ ২৫৭৬৪)"
১০০ সুসাব্যস্ত হাদিস,৭৮,সহিহ হাদিস,,আনাস (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-এর সাথে থাকাকালীন আমাদের উপর বৃষ্টি বর্ষণ শুরু হলে তিনি (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) তাঁর শরীরের কিছু অংশ খুলে ফেললেন যাতে সেখানে বৃষ্টির পানি লাগে। আমরা জিজ্ঞেস করলাম, হে আল্লাহ্‌র রাসূলুল্লাহ! এ রকম কেন করলেন? তিনি বললেন, ‘কারণ ইহা (এই বৃষ্টির পানি) স্বীয় প্রতিপালকের নিকট থেকে সদ্য আগত।” (মুসলিম ৮৯৮)"
১০০ সুসাব্যস্ত হাদিস,৭৯,সহিহ হাদিস,,রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-এর আযাদকৃত গোলাম সাওবান (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-এর আযাদকৃত গোলাম সাওবান (রাঃ) রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) থেকে বর্ণনা করেছেন। তিনি বলেছেন, “যে ব্যক্তি কোন রোগীকে দেখতে যায়, সে জান্নাতের ফলমূলে অবস্থান করতে থাকে।” জিজ্ঞেস করা হলো, জান্নাতের ফলমূলে অবস্থান করা কি? তিনি বললেন, “এর ফলমূল সংগ্রহ করা।” (মুসলিম ২৫৬৮)"
১০০ সুসাব্যস্ত হাদিস,৮০,সহিহ হাদিস,,আবূ যার (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) আমাকে বললেন, “কোন ভাল কাজকে তুচ্ছ ভেবো না, যদিও তা তোমার ভাইয়ের সাথে হাসি মুখে সাক্ষাৎ করার কাজ হয়।” (মুসলিম ২৬২৬)"
১০০ সুসাব্যস্ত হাদিস,৮১,সহিহ হাদিস,,আবূ হুরায়রা (রাঃ) থেকে বর্ণিত:,"আবূ হুরায়রা (রাঃ) নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) থেকে বর্ণনা করেছেন যে, এক ব্যক্তি তার ভাইকে দেখার জন্য অন্য এক গ্রামে গেলো। আল্লাহ্‌ তা’য়ালা তার জন্য রাস্তায় একজন ফেরেশতা মোতায়েন করলেন। সে ব্যক্তি যখন ফেরেশতার কাছে পৌঁছলো, তখন ফেরেশতা জিজ্ঞাসা করলেন, তুমি কোথায় যাচ্ছ? সে বললো, আমি এই গ্রামে আমার এক ভাইকে দেখার জন্য যাচ্ছি। ফেরেশতা বললেন, তার উপর তোমার কি কোন অনুগ্রহ আছে, যা তুমি আরো বৃদ্ধি করতে চাও? সে বললো, না। আমি তো শুধু আল্লাহ্‌র জন্য তাকে ভালবাসি। ফেরেশতা বললেন, আমি আল্লাহ্‌র পক্ষ থেকে তোমার কাছে এ পয়গাম নিয়ে এসেছি যে, আল্লাহ্ তোমাকেও ভালবাসেন, যেমন তুমি তোমার ভাইকে তাঁরই জন্য ভালবাসো।” (মুসলিম ২৫৬৭)"
১০০ সুসাব্যস্ত হাদিস,৮২,নির্ণীত নয়,,মিক্বদাদ ইবনে মা’দী কারিবা (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি অসাল্লাম) বলেছেন, “যদি তোমাদের কেউ তার কোন ভাইকে ভালবাসে, তাহলে সে যেন তাকে তার ভালবাসার কথা জানিয়ে দেয়।” (আহমদ ১৬৩০৩) হাদিসের মান নির্ণীত নয়।"
১০০ সুসাব্যস্ত হাদিস,৮৩,সহিহ হাদিস,,আবূ হুরায়রা (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেন, “হাই শয়তান কর্তৃক আসে। অতএব যখন তোমাদের কারো হাই আসে, তখন সে যেন সাধ্যানুসারে তা রোধ করে। কেননা, যখন তোমাদের কেউ হাই তুলে তখন শয়তান হাসে।” (বুখারী ৩২৮৯, মুসলিম ২৯৯৮)"
১০০ সুসাব্যস্ত হাদিস,৮৪,সহিহ হাদিস,,আবূ হুরায়রা (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেন, তোমরা (মন্দ) ধারণা করা থেকে বিরত থাকো। কারণ, (মন্দ) ধারণাই হচ্ছে সব থেকে বড় মিথ্যা।” (বুখারী ৬০৬৬, মুসলিম ০২৬৩)"
১০০ সুসাব্যস্ত হাদিস,৮৫,সহিহ হাদিস,,আসওয়াদ থেকে বর্ণিত:,"তিনি বলেন, আমি আয়েশা (রাঃ)-কে জিজ্ঞেস করলাম, নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) তাঁর বাড়িতে কি করেন? উত্তরে তিনি বললেন, তিনি বাড়িতে তাঁর পরিবারের কাজে সহযোগিতা করেন। যখন নামাযের সময় এসে উপস্থিত হয়, তখন নামাযের জন্য বেরিয়ে যান। (বুখারী ৬৭৬)"
১০০ সুসাব্যস্ত হাদিস,৮৬,সহিহ হাদিস,,আবূ হুরায়রা (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেন, “স্বভাবগত অভ্যাস হলো পাঁচটি অথবা পাঁচটি হলো স্বভাবগত অভ্যাসের অন্তর্ভুক্ত। খাতনা করা, নাভীর নীচের লোম পরিস্কার করা, বগলের চুল ছিঁড়ে ফেলা, নখ কাটা এবং মোচ খাটো করা।” (বুখারী ৫৮৮৯, মুসলিম ২৫৭)"
১০০ সুসাব্যস্ত হাদিস,৮৭,সহিহ হাদিস,,সাহল ইবনে সা’আদ থেকে বর্ণিত:,"সাহল ইবনে সা’আদ নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) থেকে বর্ণনা করেছেন। তিনি বলেছেন, “আমি ও এতীমদের দেখাশুনার দায়িত্ব গ্রহণকারী জান্নাতে এত দূর ব্যবধানে থাকবো। তারপর তিনি নিজের তর্জনী ও মধ্যমা আঙ্গুলী দিয়ে ইঙ্গিত করে দেখালেন।” (বুখারী ৬০০৫)"
১০০ সুসাব্যস্ত হাদিস,৮৮,সহিহ হাদিস,,আবূ হুরায়রা (রাঃ) থেকে বর্ণিত:,"এক ব্যক্তি নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-কে বললো, আমাকে উপদেশ দিন। তিনি বললেন, “রাগ করো না।” সে কয়েকবার একই কথার পুনরাবৃত্তি করলো। আর তিনি বললেন, “রাগ করো না।” (বুখারী ৬১১৬)"
১০০ সুসাব্যস্ত হাদিস,৮৯,সহিহ হাদিস,,আবূ হুরায়রা (রাঃ) থেকে বর্ণিত:,"আবূ হুরায়রা (রাঃ) নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) থেকে বর্ণনা করেছেন। তিনি বলেছেন, “সাত প্রকারের লোককে আল্লাহ্‌ তাঁর ছায়ায় আশ্রয় দেবেন, যেদিন তাঁর ছায়া ছাড়া আর কোন ছায়া থাকবে না, তাদের মধ্যে একজন হলো এমন ব্যক্তি যে নির্জনে আল্লাহ্‌কে স্মরণ করে চোখের পানি প্রবাহিত করে।” (বুখারী ৬৬০ মুসলিম ১০৩১)"
