বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
বুলুগুল মারাম,১,সহিহ হাদিস,عَنْ أَبِي هُرَيْرَةَ - رضي الله عنه - قَالَ: قَالَ رَسُولُ اللَّهِ - صلى الله عليه وسلم - فِي الْبَحْرِ: «هُوَ الطَّهُورُ مَاؤُهُ الْحِلُّ مَيْتَتُهُ» أَخْرَجَهُ الْأَرْبَعَةُ، وَابْنُ أَبِي شَيْبَةَ وَاللَّفْظُ لَهُ (1)، وَصَحَّحَهُ ابْنُ خُزَيْمَةَ وَالتِّرْمِذِيُّ,আবূ হুরাইরা (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেনঃ সমুদ্রের পানি পবিত্র এবং তার মৃত প্রাণী হালাল। চারজন এ হাদীস বর্ণনা করেছেন। শব্দ বিন্যাস আবূ শাইবার, ইবনু খুযাইমাহ ও তিরমিযী হাদীসটিকে সহীহ্‌ বলেছেন। ইমাম মালিক, শাফি‘ঈ ও আহমাদ বিন্‌ হাম্বালও এটি বর্ণনা করেছেন। [১] হাদিসের মানঃ সহিহ হাদিস"
বুলুগুল মারাম,২,সহিহ হাদিস,وَعَنْ أَبِي سَعِيدٍ الْخُدْرِيِّ - رضي الله عنه - قَالَ: قَالَ رَسُولُ اللَّهِ - صلى الله عليه وسلم -: «إِنَّ الْمَاءَ طَهُورٌ لَا يُنَجِّسُهُ شَيْءٌ» أَخْرَجَهُ الثَّلَاثَةُ، وَصَحَّحَهُ أَحْمَدُ,আবূ সা‘ঈদ খুদরী (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেনঃ ‘নিশ্চয়ই পানি পবিত্র জিনিস, কোন কিছুই তাকে অপবিত্র করতে পারে না।’-৩ জনে; [২] আহমাদ একে সহীহ্‌ বলেছেন। [৩] হাদিসের মানঃ সহিহ হাদিস"
বুলুগুল মারাম,৩,অন্যান্য,وَعَنْ أَبِي أُمَامَةَ الْبَاهِلِيِّ - رضي الله عنه - قَالَ: قَالَ رَسُولُ اللهِ - صلى الله عليه وسلم -: «إِنَّ الْمَاءَ لَا يُنَجِّسُهُ شَيْءٌ، إِلَّا مَا غَلَبَ عَلَى رِيحِهِ وَطَعْمِهِ وَلَوْنِهِ» أَخْرَجَهُ ابْنُ مَاجَهْ وَضَعَّفَهُ أَبُو حَاتِمٍ,আবূ উমামাহ বাহিলী (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আল্লাহ্‌র রসূল (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেনঃ “নিশ্চয় পানিকে কোন কিছু অপবিত্র করতে পারে না তবে যা তার ঘ্রাণ, স্বাদ ও রঙকে পরিবর্তন করে দেয়।” – ইবনু মাজাহ, [৪] আবূ হাতিম এটিকে য’ঈফ বলেছেন। তবে হাদিসের প্রথম অংশ সহিহ [৫]"
বুলুগুল মারাম,৪,দুর্বল হাদিস,وَلِلْبَيْهَقِيِّ: «الْمَاءُ طَهُورٌ (1) إِلَّا إِنْ تَغَيَّرَ رِيحُهُ، أَوْ طَعْمُهُ، أَوْ لَوْنُهُ; بِنَجَاسَةٍ تَحْدُثُ فِيهِ»,বর্ণনাকারী থেকে বর্ণিত:,"বাইহাকীতে রয়েছে “পানি পবিত্র তবে কোন নাজাসাত (অপবিত্র বস্তু) পড়ার কারণে পানির ঘ্রাণ, স্বাদ ও রঙকে নষ্ট ও পরিবর্তন হলে সেই পানি অপবিত্র হয়ে যাবে।” [৬]"
বুলুগুল মারাম,৫,সহিহ হাদিস,وَعَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ رَضِيَ اللَّهُ عَنْهُمَا قَالَ: قَالَ رَسُولُ اللَّهِ - صلى الله عليه وسلم -: «إِذَا كَانَ الْمَاءُ قُلَّتَيْنِ لَمْ يَحْمِلِ الْخَبَثَ»، وَفِي لَفْظٍ: «لَمْ يَنْجُسْ» أَخْرَجَهُ الْأَرْبَعَةُ، وَصَحَّحَهُ ابْنُ خُزَيْمَةَ وَابْنُ حِبَّانَ,‘আবদুল্লাহ বিন ‘উমার (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আল্লাহ্‌র রসূল (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেনঃ ‘পানির পরিমাণ যদি দু’কুল্লা (কুল্লা হচ্ছে বড় আকারের মাটির পাত্র বিশেষ যাতে প্রায় একশত তের কেজি পানি আটে।) (মটকা) হয় তবে তার মধ্যে কোন অপবিত্র বস্তু পড়লে তা না-পাক হবে না।’ (চারজনে এটি বর্ণনা করেছেন এবং ইবনু খুযাইমাহ ও ইবনু হিব্বান এক সহীহ বলেছেন।) [৭]"
বুলুগুল মারাম,৬,সহিহ হাদিস,وَعَنْ أَبِي هُرَيْرَةَ - رضي الله عنه - قَالَ: قَالَ رَسُولُ اللَّهِ - صلى الله عليه وسلم -: «لا يَغْتَسِلْ أَحَدُكُمْ فِي الْمَاءِ الدَّائِمِ وَهُوَ جُنُبٌ» أَخْرَجَهُ مُسْلِمٌ (1)، وَلِلْبُخَارِيِّ: «لَا يَبُولَنَّ أَحَدُكُمْ فِي الْمَاءِ الدَّائِمِ الَّذِي لَا يَجْرِي، ثُمَّ يَغْتَسِلُ فِيهِ» (2)، وَلِمُسْلِمٍ: «مِنْهُ» (3)، وَلِأَبِي دَاوُدَ: «وَلَا يَغْتَسِلُ فِيهِ مِنَ الْجَنَابَةِ»,আবূ হুরাইরা (রাঃ) থেকে বর্ণিত:,"রসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেনঃ ‘অপবিত্র (জুনুবী) অবস্থায় কেউ যেন আবদ্ধ পানিতে (নেমে) গোসল না করে। [৮] বুখারীর বর্ণনায় আছে, “কোন ব্যক্তি যেন স্রোত নেই এমন আবদ্ধ পানিতে প্রস্রাব করার পর তাতে নেমে আবার গোসল না করে।” [৯] সহিহ মুসলিমে ফীহি শব্দের পরিবর্তে মিনহু (উক্ত বর্ণনাকারী থেকে) শব্দ রয়েছে। [১০] আর আবূ দাঊদে রয়েছেঃ “অপবিত্র অবস্থায় তাতে যেন (নেমে) গোসল না করে।” [১১]"
বুলুগুল মারাম,৭,সহিহ হাদিস,وَعَنْ رَجُلٍ صَحِبَ النَّبِيَّ - صلى الله عليه وسلم - قَالَ: نَهَى رَسُولُ اللَّهِ - صلى الله عليه وسلم - أَنْ تَغْتَسِلَ الْمَرْأَةُ بِفَضْلِ الرَّجُلِ، أَوِ الرَّجُلُ بِفَضْلِ الْمَرْأَةِ، وَلْيَغْتَرِفَا جَمِيعًا. أَخْرَجَهُ أَبُو دَاوُدَ وَالنَّسَائِيُّ، وَإِسْنَادُهُ صَحِيحٌ,নাবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) - এর জনৈক সহাবী (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) জুনুবী পুরুষের গোসলের অবশিষ্ট পানি দিয়ে নারীকে আর নারীর অবশিষ্ট পানি দ্বারা পুরুষের গোসল করতে নিষেধ করেছেন, বরং তারা যেন পাত্র হতে একই সঙ্গে আজলা-আজলা করে পানি উঠিয়ে নিয়ে গোসল করে।‘ -আবূ দাঊদ, নাসায়ী এটি বর্ণনা করেছেন এবং এর সানাদটি সহীহ্‌। [১২] হাদিসের মানঃ সহিহ হাদিস"
বুলুগুল মারাম,৮,সহিহ হাদিস,وَعَنِ ابْنِ عَبَّاسٍ رَضِيَ اللَّهُ عَنْهُمَا، أَنَّ النَّبِيَّ - صلى الله عليه وسلم - كَانَ يَغْتَسِلُ بِفَضْلِ مَيْمُونَةَ رَضِيَ اللَّهُ عَنْهَا. أَخْرَجَهُ مُسْلِمٌ,ইবনু ‘আব্বাস (রাঃ) থেকে বর্ণিত:,নাবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) মাইমূনা (রাঃ) এ’র গোসলের অবশিষ্ট পানি দ্বারা গোসল করতেন।’ (মুসলিম) [১৩]
বুলুগুল মারাম,৯,সহিহ হাদিস,وَلِأَصْحَابِ السُّنَنِ: اغْتَسَلَ بَعْضُ أَزْوَاجِ النَّبِيِّ - صلى الله عليه وسلم - فِي جَفْنَةٍ، فَجَاءَ لِيَغْتَسِلَ مِنْهَا، فَقَالَتْ لَهُ: إِنِّي كُنْتُ جُنُبًا، فَقَالَ: «إِنَّ الْمَاءَ لَا يُجْنِبُ» وَصَحَّحَهُ التِّرْمِذِيُّ وَابْنُ خُزَيْمَةَ,বর্ণনাকারী থেকে বর্ণিত:,"সুনান চতুষ্টয় (আবূ দাঊদ, নাসায়ী, তিরমিযী ও ইবনু মাজাহ) -র বর্ণনায় উল্লেখ রয়েছেঃ “গামলার পানিতে নাবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) -এর জনৈক স্ত্রী গোসল করেছিলেন, অতঃপর নাবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) তাঁর (অবশিষ্ট) পানি দিয়ে গোসল করতে এলে তাঁর স্ত্রী তাঁকে বললেন, আমি তো (জুনুবী) অপবিত্র ছিলাম। তিনি (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বললেন, পানি তো আর অপবিত্র হয় না।‘ তিরমিযী ও ইবনু খুযাইমাহ একে সহীহ্‌ বলেছেন। [১৪]"
বুলুগুল মারাম,১০,সহিহ হাদিস,وَعَنْ أَبِي هُرَيْرَةَ - رضي الله عنه - قَالَ: قَالَ رَسُولُ اللَّهِ - صلى الله عليه وسلم -: «طُهُورُ إِنَاءِ أَحَدِكُمْ إِذَا وَلَغَ فِيهِ الْكَلْبُ أَنْ يَغْسِلَهُ سَبْعَ مَرَّاتٍ، أُولَاهُنَّ بِالتُّرَابِ» أَخْرَجَهُ مُسْلِمٌ ، وَفِي لَفْظٍ لَهُ: «فَلْيُرِقْهُ» وَلِلتِّرْمِذِيِّ: «أُخْرَاهُنَّ، أَوْ أُولَاهُنَّ بِالتُّرَابِ»,আবূ হুরাইরা (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আল্লাহ্‌র রসূল (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) এরশাদ করেছেনঃ ‘কুকুর কোন পাত্র চাটলে সেই পাত্রকে পবিত্র করতে সাতবার সেটিকে পরিষ্কার করে ধুতে হবে-তার প্রথম বার মাঠি দিয়ে (মাজতে হবে)।’ [১৫] মুসলিমের আরেক বর্ণনায় “সেটির (চেটে রাখা ) উচ্ছৃষ্ট বস্তু ফেলে দিবে” কথাটি রয়েছে। [১৬] আর তিরমিযীতে আছে, ‘শেষের বার অথবা প্রথমবার মাটি দিয়ে (মেজে নিয়ে ধুবে)। [১৭]"
