বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
সহিহ ফাযায়েলে আমল,১,হাসান হাদিস,,আবূ সাঈদ আল-খুদরী (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ্ (সাঃ) বলেছেন : আমি কি তোমাদেরকে এমন বিষয়ের সংবাদ দিব না, যে বিষয়টি আমার কাছে মাসীহ দাজ্জালের চাইতেও ভয়ঙ্কর? সাহাবীগণ বললেন : হ্যাঁ। তিনি বললেন : তা হচ্ছে গোপন শিরক। (এর উদাহরণ হলো) একজন মানুষ দাঁড়িয়ে শুধু এ জন্যই তার সলাতকে খুব সুন্দরভাবে আদায় করে যে, কোন মানুষ তার সলাত দেখছে। (ইবনু মাজাহ হা/৪২০৪। শায়খ আলবানী হাদীসটিকে হাসান বলেছেন।)"
সহিহ ফাযায়েলে আমল,২,সহিহ হাদিস,,বর্ণনাকারী থেকে বর্ণিত:,"নাবী (সাঃ) বলেছেন : যে ব্যক্তি কাউকে দেখাবার উদ্দেশ্যে সলাত পড়লো সে শির্‌ক করলো, যে ব্যক্তি কাউকে দেখাবার উদ্দেশ্যে সিয়াম পালন করলো সে শির্‌ক করলো, যে ব্যক্তি অপরকে দেখাবার উদ্দেশ্যে সদাক্বাহ করলো সে শির্‌ক করলো (আহমাদ হা/১৭১৪০, ত্বাবারানী কাবীর হা/৬৯৯৩)"
সহিহ ফাযায়েলে আমল,৩,সহিহ হাদিস,,ইবনু ‘উমার (রাঃ) থেকে বর্ণিত:,"ইবনু ‘উমার (রাঃ) এক ব্যক্তিকে কা’বা ঘরের শপথ করতে শুনে বললেন, আল্লাহ্ ছাড়া অন্য কিছুর শপথ করবে না। আমি রাসূলুল্লাহ্ (সাঃ)- কে বলতে শুনেছি। যে ব্যক্তি আল্লাহ্ ছাড়া অন্য কিছুর নামে শপথ করে সে কুফরী করলো বা শির্‌ক করলো। (তিরমিযী হা/১৫৩৫, হাকিম, সহীহাহ হা/২০৪২। ইমাম তিরমিযী বলেন : এই হাদীসটি হাসান। ইমাম হাকিম ও শায়খ আলবানী হাদীসটিকে সহীহ বলেছেন)"
সহিহ ফাযায়েলে আমল,৪,সহিহ হাদিস,,আবূ হুরাইরাহ (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ্ (সাঃ) বলেছেন : যে জিনিস তোমার উপকারে আসবে তার দিকে অগ্রসর হও এবং আল্লাহর কাছে সাহায্য চাও আর অক্ষমতা প্রকাশ করো না। যদি তোমার উপর কোন বিপদ এসে পড়ে তাহলে এ কথা বলো না : ‘যদি আমি এ রকম করতাম তাহলে অবশ্যই এমন হতো।’ বরং তুমি এ কথা বলো : ‘আল্লাহ্ যা তাক্বদীরে রেখেছেন এবং ইচ্ছা করেছেন তাই হয়েছে।’ কেননা ‘যদি’ কথাটি শয়তানের জন্য কুমন্ত্রণার পথ খুলে দেয়। (সহীহ মুসলিম, আহমাদ)"
সহিহ ফাযায়েলে আমল,৫,সহিহ হাদিস,,হুযাইফাহ ইবনুল ইয়ামান (রাঃ) থেকে বর্ণিত:,"এক মুসলিম ব্যক্তি স্বপ্নে এক ইয়াহুদী ব্যক্তির সাথে সাক্ষাৎ করলে ইয়াহুদী লোকটি তাকে বললো। তোমরা অত্যন্ত ভাল জাতি যদি না তোমরা শির্‌ক করতে। তোমরা বলে থাকো- ‘আল্লাহ্ যা চান এবং মুহাম্মাদ (সাঃ) যা চান।’ অতঃপর রাসূলুল্লাহ্ (সাঃ)- কে এ স্বপ্নের কথা বলা হলে তিনি বলেন : “আল্লাহর শপথ আমি তোমাদের এ বিষয় সম্পর্কে সর্বাধিক অবহিত আছি তোমরা সেভাবে কথা না বলে এভাবে বলো : “আল্লাহ্ এককভাবে যা চান অতঃপর মুহাম্মাদ (সাঃ) যা চান।” (ইবনু মাজাহ হা/২১১৮, সিলসিলাহ সহীহাহ হা/১৩৭ : শায়খ আলবানী হাদীসটিকে সহীহ বলেছেন)"
সহিহ ফাযায়েলে আমল,৬,সহিহ হাদিস,,ইবনু ‘আব্বাস (রাঃ) থেকে বর্ণিত:,"এক ব্যক্তি এসে রাসূলুল্লাহ্ (সাঃ)-এর সাথে কোন বিষয়ে কথা বলার প্রসঙ্গে বললো : ‘আল্লাহ্ এবং আপনি যা চান। লোকটির এ কথা শুনে রাসূলুল্লাহ্ (সাঃ) বললেন : ‘তুমি কি আমাকে আল্লাহর সমকক্ষ বানিয়ে নিলে?।” (তাফসীর ইবনু কাসীর, আল-আদাবুল মুফরাদ, ইমাম আলবানী সহীহ বলেছেন, সিলসিলায়ে সহীহা, হাদীছ নং- ১৩৯)"
সহিহ ফাযায়েলে আমল,৭,সহিহ হাদিস,,‘আবদুল্লাহ্ ইবনু মাসঊদ (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ্ (সাঃ) বলেছেন : কোন কিছুকে অশুভ মনে করা শির্‌ক। (আহমাদ হা/৩৬৮৭, শায়খ আলবানী ও ইবনু হিব্বাস একে সহীহ বলেছেন)"
সহিহ ফাযায়েলে আমল,৮,সহিহ হাদিস,,ইবনু মাসঊদ (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, এক ইয়াহুদী পণ্ডিত রাসূলুল্লাহ্ (সাঃ)-এর কাছে এসে বললো; ‘হে মুহাম্মাদ! আমরা তাওরাত কিতাবে দেখেছি যে, আল্লাহ্ তা’আলা সাত আসমানকে এক আঙ্গুলে এবং যমীনসমূহকে এক আঙ্গুলে, বৃক্ষরাজিকে এক আঙ্গুলে, পানি এক অঙ্গুলের, ভুতলের সমস্ত জিনিসকে এক আঙ্গুলে এবং সমস্ত সৃষ্টি জগতকে এক আঙ্গুলে রেখে বলবেন : আমিই সম্রাট।’ এ কথা শুনে রাসূলুল্লাহ্ (সাঃ) ইয়াহুদী পণ্ডিতের কথার সমর্থনে এমনভাবে হেসে দিলেন যে, তাঁর দাঁত মোবারক দেখা যাচিছল। অতঃপর তিনি এ আয়াত তিলাওয়াত করেন : “তারা আল্লাহর যথার্থ মর্যাদা নিরূপণ করতে পারেনি। ক্বিয়ামাতের দিন সমগ্র পৃথিবী তাঁর হাতের মুঠোতে থাকবে।” (সূরাহ আয-যুমার : ৬৮) (২) আল্লাহ্ পাহাড়-পর্বত এবং বৃক্ষরাজি এক আঙ্গুলে রাখবেন। অতঃপর এগুলোকে ঝাকুনি দিয়ে বলবেন : আমিই রাজাধিরাজ, আমিই আল্লাহ। (সহীহ মুসলিম) (৩) আল্লাহ্ সমস্ত আকাশমণ্ডলীকে এক আঙ্গুলে রাখবেন। পানি এবং ভুতলে যা কিছু আছে তা এক আঙ্গুলে রাখবেন। (সহীহুল বুখারী) (৪) ইবনু ‘উমার (রাঃ) হতে বর্ণিত। রাসূলুল্লাহ্ (সাঃ) বলেন : ক্বিয়ামাতের দিন আল্লাহ তা’আলা সমস্ত আকাশমণ্ডলীকে ভাঁজ করবেন। অতঃপর সেগুলোকে ডান হাতে নিয়ে বলবেন : আমিই বাদশাহ। অত্যাচারী ও যালিমরা কোথায়? অহংকারীরা কোথায়? অতঃপর সমস্ত পৃথিবীগুলোকে ভাঁজ করবেন। অতঃপর সেগুলোকে বাম হাতে নিয়ে বলবেন : আমিই মহারাজ। অত্যাচারী ও যালিমরা কোথায়? অহংকারীরা কোথায়?। (সহীহ মুসলিম) (৫) ইবনু ‘আব্বাস (রাঃ) হতে বর্ণিত। রাসূলুল্লাহ্ (সাঃ) বলেছেন : সাত আসমান এবং সাত যমীন আল্লাহ্ তা’আলার হাতের তালুতে ঠিক যেন তোমাদের কারো হাতে একটি সরিষার দানার মত। (তাফসীর ইবনু জারীর আত-তাবারী) (৬) ‘আবদুল্লাহ্ বিন যায়িদ (রাঃ) হতে তার পিতার সূত্রে বর্ণিত। রাসূলুল্লাহ্ (সাঃ) বলেছেন : কুরসীর মধ্যে সাত আকাশের অবস্থান যেন একটি ঢালের মধ্যে নিক্ষিপ্ত সাতটি দিরহামের ন্যায়। আর ‘আরশের মধ্যে কুরসীর অবস্থান ঠিক তেমন, যেমন খোলা ময়দানে পড়ে থাকা একটি আংটি। (তাফসীর ইবনু কাসীর)"
সহিহ ফাযায়েলে আমল,৯,সহিহ হাদিস,,বর্ণনাকারী থেকে বর্ণিত:,রাসূলুল্লাহ্ (সাঃ) বলেন : “ঈমানের প্রকৃত স্বাদ সেই ব্যক্তি পাবে যার কাছে আল্লাহ্ এবং তাঁর রাসূর সর্বাধিক প্রিয়।” (সহীহুল বুখারী ও সহীহ মুসলিম)
সহিহ ফাযায়েলে আমল,১০,সহিহ হাদিস,,বর্ণনাকারী থেকে বর্ণিত:,"রাসূলুল্লাহ্ (সাঃ) আরো বলেন : “তোমাদের কেউ ততক্ষণ পর্যন্ত ঈমানদার হতে পারবে না, যতক্ষণ না আমি তার কাঝে তার পিতা, সন্তান ও সকল মানুষের চেয়ে অধিক প্রিয় হই।” (সহীহুল বুখারী ও সহীহ মুসলিম)"
