বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
হাদিস সম্ভার,১,সহিহ হাদিস,,মুআয বিন জাবাল (রাঃ) থেকে বর্ণিত:,"একদা আমি উফাইর নামক এক গাধার পিঠে নাবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) -এর পিছনে সওয়ার ছিলাম। তিনি বললেন, “হে মুআয! তুমি কি জান, বান্দার উপর আল্লাহর অধিকার এবং আল্লাহর উপর বান্দার অধিকার কী?” আমি বললাম, আল্লাহ ও তাঁর রসূল অধিক জানেন। তিনি বললেন, “বান্দার উপর আল্লাহর অধিকার হল এই যে, বান্দা একমাত্র তাঁরই ইবাদত করবে এবং তাঁর সাথে কোন কিছুকে শরীক করবে না। আর আল্লাহর উপর বান্দার অধিকার হল এই যে, তাঁর সাথে যে শরীক করে না তাকে আযাব দেবেন না।” (বুখারী ২৮৫৬ মুসলিম ১৫৩নং)"
হাদিস সম্ভার,২,সহিহ হাদিস,,উসমান (রাঃ) থেকে বর্ণিত:,"নাবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেন, “যে ব্যক্তি ‘আল্লাহ ছাড়া কেউ সত্য উপাস্য নেই’ এ কথা জানা অবস্থায় মারা যাবে, সে জান্নাতে প্রবেশ করবে।” (মুসলিম ১৪৫, আহমাদ ৪৬৪নং)"
হাদিস সম্ভার,৩,সহিহ হাদিস,,মুআয বিন জাবাল (রাঃ) থেকে বর্ণিত:,"আল্লাহর রসূল (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেন, “যার শেষ কথা ‘লা ইলাহা ইল্লাল্লাহ’ হবে, সে বেহেশ্তে প্রবেশ করবে।” (আহমাদ ২২০৩৪, ২২১২৭, আবূ দাঊদ ৩১১৮, হাকেম ১২৯৯, সহীহুল জামে’ ৬৪৭৯নং)"
হাদিস সম্ভার,৪,সহিহ হাদিস,,মুআয (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেন, “যে ব্যক্তি সত্য-চিত্তে (ইখলাসের সাথে) “আশহাদু আল লা ইলা-হা ইল্লাল্লাহ, অআন্না মুহাম্মাদার রাসূলুল্লাহ” বলবে, সে জান্নাতে প্রবেশ করবে।” (আহমাদ ২২০০৩, বাইহাক্বীর শুআবুল ঈমান ৭, সিঃ সহীহাহ ২২৭৮ নং)"
হাদিস সম্ভার,৫,সহিহ হাদিস,,মুসাইয়িব থেকে বর্ণিত:,"নাবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) -এর পিতৃব্য আবু তালেবের যখন মরণকাল উপস্থিত হয়, তখন তিনি তাঁকে বলেছিলেন, ‘হে পিতৃব্য! আপনি ‘লা ইলাহা ইল্লাল্লাহ’ বলুন---এটা এমন এক কলেমা যাকে আল্লাহর নিকট আপনার (মুক্তির) জন্য দলীল স্বরূপ পেশ করব।” (বুখারী ৩৮৮৪, ৪৭৭২, ৬৬৮১নং)"
হাদিস সম্ভার,৬,সহিহ হাদিস,,আৰু মালেক থেকে বর্ণিত:,"আবূ মালেক তাঁর পিতা থেকে বর্ণনা করে বলেন, আমি শুনেছি, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেন, “যে ব্যক্তি লা ইলাহা ইল্লাল্লাহ’ (আল্লাহ ছাড়া কোন সত্য উপাস্য নেই) বলবে এবং আল্লাহ ব্যতীত পূজ্যমান যাবতীয় ব্যক্তি ও বস্তুকে অস্বীকার ও অমান্য করবে, তার জান ও মাল অবৈধ হয়ে যাবে। (অর্থাৎ সে ইসলামী রাষ্ট্রে নিরাপত্তা লাভ করবে।) আর তার হিসাব আল্লাহর উপর।” (মুসলিম ১৩৯নং)"
হাদিস সম্ভার,৭,সহিহ হাদিস,,আনাস বিন মালেক (রাঃ) থেকে বর্ণিত:,"আল্লাহর রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেন, “(পরকালে) আল্লাহ বলবেন, সেই ব্যক্তিকে জাহান্নাম থেকে বের কর, যে ‘লা ইলাহা ইল্লাল্লাহ’ বলেছে এবং তার হৃদয়ে যবের দানা পরিমাণ মঙ্গল (ঈমান) আছে। সেই ব্যক্তিকেও জাহান্নাম থেকে বের কর, যে ‘লা ইলাহা ইল্লাল্লাহ’ বলেছে এবং তার হৃদয়ে অণু (বা ভুট্টা) পরিমাণ মঙ্গল (ঈমান) আছে। আর সেই ব্যক্তিকেও জাহান্নাম থেকে বের কর, যে ‘লা ইলাহা ইল্লাল্লাহ’ বলেছে এবং তার হৃদয়ে গমের দানা পরিমাণ মঙ্গল (ঈমান) আছে।” (আহমাদ ৩/২৭৬, তিরমিযী ২৫৯৩নং, এ হাদীসের মূল রয়েছে সহীহায়নে)"
হাদিস সম্ভার,৮,সহিহ হাদিস,,আব্দুল্লাহ বিন আমর বিন আস (রাঃ) থেকে বর্ণিত:,"আল্লাহর রসূল (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেন, “(কিয়ামতের দিন) আল্লাহ আমার উম্মতের একটি লোককে বেছে নিয়ে তার সামনে নিরানব্বইটি (আমল-নামা) রেজিষ্টার বিছিয়ে দেবেন; প্রত্যেকটি রেজিষ্টার দৃষ্টি বরাবর লম্বা! অতঃপর তাকে জিজ্ঞাসা করবেন, ‘তুমি কি লিখিত পাপের কোন কিছু অস্বীকার কর? আমার আমল সংরক্ষক ফেরেশতা কি তোমার প্রতি কোন অন্যায় করেছে?’ লোকটি বলবে, 'না, হে আমার প্রতিপালক!’ আল্লাহ বলবেন, ‘তোমার কি কোন পেশ করার মত ওযর আছে অথবা তোমার কি কোন নেকী আছে?’ লোকটি হতবাক হয়ে বলবে, ‘না, হে আমার প্রতিপালক!’ আল্লাহ বলবেন, ‘অবশ্যই আমাদের কাছে তোমার একটি নেকী আছে। আর আজ তোমার প্রতি কোন প্রকার অবিচার করা হবে না।’ অতঃপর একটি কার্ড বের করা হবে, যাতে লেখা থাকবে, ‘আশহাদু আল লা ইলাহা ইল্লাল্লাহ অআন্না মুহাম্মাদান আবদুহু অরসূলুহ।’ আল্লাহ মীযান (দাঁড়িপাল্লা) আনতে আদেশ করবেন। লোকটি বলবে, ‘হে আমার প্রতিপালক! এতগুলি বড় বড় রেজিষ্টারের কাছে এই কার্ডটির ওজন আর কী হবে?’ আল্লাহ বলবেন, ‘তোমার প্রতি অবিচার করা হবে না।’ অতঃপর রেজিষ্টারগুলোকে দাঁড়ির এক পাল্লায় এবং ঐ কার্ডটিকে অন্য পাল্লায় চড়ানো হবে। দেখা যাবে, রেজিষ্টারগুলোর ওজন হাল্কা এবং কার্ডটির ওজন ভারী হয়ে গেছে! যেহেতু আল্লাহর নামের চেয়ে অন্য কিছু ভারী নয়।” (আহমাদ ৬৯৯৪, তিরমিযী ২৬৩৯, ইবনে মাজাহ ৪৩০০নং, হাকেম ১/৪৬)"
হাদিস সম্ভার,৯,সহিহ হাদিস,,আব্দুল্লাহ বিন আমর (রাঃ) থেকে বর্ণিত:,"আল্লাহর রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেন, “নুহ (আঃ) মৃত্যুর সময় তাঁর দুই ছেলেকে অসিয়ত করে বললেন, ---আমি তোমাকে ‘লা ইলাহা ইল্লাল্লাহ’ (বলার) আদেশ করছি। যেহেতু যদি সাত আসমান এবং সাত যমীনকে দাঁড়িপাল্লার এক পাল্লায় রাখা হয় এবং ‘লা ইলাহা ইল্লাল্লাহ’কে অপর পাল্লায় রাখা হয়, তাহলে ‘লা ইলাহা ইল্লাল্লাহ’র পাল্লা বেশী ভারী হবে। যদি সাত আসমান এবং সাত যমীন নিরেট গোলাকার বস্তু হয়, তাহলেও ‘লা ইলাহা ইল্লাল্লাহ’ তা চূৰ্ণবিচূর্ণ করে দেবে।---” (আহমদ ৭ ১০ ১, ত্বাবরানী বায্‌যার, মাজমাউয যাওয়াইদ ৪/২ ১৯, সিঃ সহীহাহ ১৩৪নং)"
হাদিস সম্ভার,১০,সহিহ হাদিস,,জাবের (রাঃ) থেকে বর্ণিত:,"নবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেন, “যে ব্যক্তি কোন কিছুকে আল্লাহর শরীক (শির্ক) না করে মারা যাবে, সে ব্যক্তি বেহেশ্ত্ প্রবেশ করবে। আর যে ব্যক্তি কোন কিছুকে আল্লাহর শরীক (শির্ক) করে মারা যাবে, সে ব্যক্তি দোযখ প্রবেশ করবে।” (মুসলিম ২৭৯নং)"
