বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
সুনানে ইবনে মাজাহ,৮০৩,,"حَدَّثَنَا عَلِيُّ بْنُ مُحَمَّدٍ الطَّنَافِسِيُّ، حَدَّثَنَا أَبُو أُسَامَةَ، حَدَّثَنِي عَبْدُ الْحَمِيدِ بْنُ جَعْفَرٍ، حَدَّثَنَا مُحَمَّدُ بْنُ عَمْرِو بْنِ عَطَاءٍ، قَالَ سَمِعْتُ أَبَا حُمَيْدٍ السَّاعِدِيَّ، يَقُولُ كَانَ رَسُولُ اللَّهِ ـ صلى الله عليه وسلم ـ إِذَا قَامَ إِلَى الصَّلَاةِ اسْتَقْبَلَ الْقِبْلَةَ وَرَفَعَ يَدَيْهِ وَقَالَ "" اللَّهُ أَكْبَرُ "" .",আবু হুমায়দ আস-সাইদী (রাঃ) থেকে বর্ণিত:,রসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) যখন সলাতে কিবলামুখী হতেন তখন তাঁর দু’হাত উত্তোলন করে আল্লাহু আকবার (তাকবির তাহরীমা) বলতেন। [৮০১]
সুনানে ইবনে মাজাহ,৮০৪,,"حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ، حَدَّثَنَا زَيْدُ بْنُ الْحُبَابِ، حَدَّثَنِي جَعْفَرُ بْنُ سُلَيْمَانَ الضُّبَعِيُّ، حَدَّثَنِي عَلِيُّ بْنُ عَلِيٍّ الرِّفَاعِيُّ، عَنْ أَبِي الْمُتَوَكِّلِ، عَنْ أَبِي سَعِيدٍ الْخُدْرِيِّ، قَالَ كَانَ رَسُولُ اللَّهِ ـ صلى الله عليه وسلم ـ يَسْتَفْتِحُ صَلاَتَهُ يَقُولُ "" سُبْحَانَكَ اللَّهُمَّ وَبِحَمْدِكَ وَتَبَارَكَ اسْمُكَ وَتَعَالَى جَدُّكَ وَلاَ إِلَهَ غَيْرُكَ "" .",আবূ সাঈদ আল-খুদরী (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) সালাত শুরু করে (তাকবীরে তাহরীমার পর) বলতেন: “সুবহানাকা আল্লাহুম্মা ওয়া বিহামদিকা ওয়া তাবারাকাসমুকা ওয়া তা’আলা জাদ্দুকা ওয়া লা ইলাহা গাইরুকা” (হে আল্লাহ! আমি আপনার সপ্রশংস পবিত্রতা ঘোষণা করছি, আপনার নাম বরকতপূর্ণ, আপনার মাহাত্ন সুউচ্চ এবং আপনি ব্যতীত কোন ইলাহ নেই)। [৮০২]"
সুনানে ইবনে মাজাহ,৮০৫,,"حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ، وَعَلِيُّ بْنُ مُحَمَّدٍ، قَالاَ حَدَّثَنَا مُحَمَّدُ بْنُ فُضَيْلٍ، عَنْ عُمَارَةَ بْنِ الْقَعْقَاعِ، عَنْ أَبِي زُرْعَةَ، عَنْ أَبِي هُرَيْرَةَ، قَالَ كَانَ رَسُولُ اللَّهِ ـ صلى الله عليه وسلم ـ إِذَا كَبَّرَ سَكَتَ بَيْنَ التَّكْبِيرِ وَالْقِرَاءَةِ . قَالَ فَقُلْتُ بِأَبِي أَنْتَ وَأُمِّي أَرَأَيْتَ سُكُوتَكَ بَيْنَ التَّكْبِيرِ وَالْقِرَاءَةِ فَأَخْبِرْنِي مَا تَقُولُ قَالَ "" أَقُولُ اللَّهُمَّ بَاعِدْ بَيْنِي وَبَيْنَ خَطَايَاىَ كَمَا بَاعَدْتَ بَيْنَ الْمَشْرِقِ وَالْمَغْرِبِ اللَّهُمَّ نَقِّنِي مِنْ خَطَايَاىَ كَالثَّوْبِ الأَبْيَضِ مِنَ الدَّنَسِ اللَّهُمَّ اغْسِلْنِي مِنْ خَطَايَاىَ بِالْمَاءِ وَالثَّلْجِ وَالْبَرَدِ "" .",আবূ হুরায়রা (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রসূলুল্লাহ (সাল্লালাহু ‘আলাইহি ওয়া সাল্লাম) তাকবীরে তাহরীমা বলার পর, তাকবীর ও কিরাআতের মাঝখানে কিছুক্ষণ নীরব থাকতেন। রাবী বলেন, আমি বললাম, আমার পিতামাতা আপনার জন্য উৎসর্গিত হোক, আপনি তাকবীর ও কিরাআতের মাঝখানে চুপ থাকেন কেন? তখন আপনি কী বলেন আমাকে বলুন! তিনি বলেন: আমি বলিঃ (আল্লাহুম্মা বা’ইদ বাইনি ওয়া বাইনা খাতাইয়াইয়া কামা বায়াদতা বাইনাল মাশরিক্বি ওয়াল মাগরিব। আল্লাহুম্মা নাক্কিনী মিন খাতাইয়াইয়া কাস-সাওবিল আবইয়াদু মিনাদ দানাস। আল্লাহুম্মাগসিলনী মিন খাতাইয়াইয়া বিল মায়ি ওয়াস-সালজি ওয়াল বারাদ।) “হে আল্লাহ্! আপনি আমার ও আমার গুনাহের মাঝে এরূপ দূরত্ব সৃষ্টি করে দিন, যেরূপ আপনি পূর্ব ও পশ্চিমের মাঝে দূরত্ব সৃষ্টি করেছেন। হে আল্লাহ! আপনি আমাকে আমার পাপরাশি থেকে পবিত্র করুন, যেমন ময়লা থেকে ধবধবে সা’দা কাপড় পরিষ্কার করা হয়। হে আল্লাহ! আপনি আমার গুনাহসমূহ হিমশীতল পানি দিয়ে ধৌত করুন।” [৮০৩]"
সুনানে ইবনে মাজাহ,৮০৬,,"حَدَّثَنَا عَلِيُّ بْنُ مُحَمَّدٍ، وَعَبْدُ اللَّهِ بْنُ عِمْرَانَ، قَالاَ حَدَّثَنَا أَبُو مُعَاوِيَةَ، حَدَّثَنَا حَارِثَةُ بْنُ أَبِي الرِّجَالِ، عَنْ عَمْرَةَ، عَنْ عَائِشَةَ، أَنَّ النَّبِيَّ ـ صلى الله عليه وسلم ـ كَانَ إِذَا افْتَتَحَ الصَّلاَةَ قَالَ "" سُبْحَانَكَ اللَّهُمَّ وَبِحَمْدِكَ تَبَارَكَ اسْمُكَ وَتَعَالَى جَدُّكَ وَلاَ إِلَهَ غَيْرُكَ "" .",আয়িশা (রাঃ) থেকে বর্ণিত:,"নবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) সালাত শুরু করে বলতেন- (সুবহানাকা আল্লাহুম্মা ওয়া বি হামদিকা তাবারাকাসমুকা ওয়া তা’আলা জাদ্দুকা ওয়ালা ইলাহা গাইরুক) “হে আল্লাহ্! আমি আপনার সপ্রশংস পবিত্রতা বর্ণনা করছি, আপনার নাম বরকতময় এবং আপনার মাহাত্ন্য সুউচ্চ। আপনি ব্যতীত কোন ইলাহ নাই।” [৮০৪]"
সুনানে ইবনে মাজাহ,৮০৭,,"حَدَّثَنَا مُحَمَّدُ بْنُ بَشَّارٍ، حَدَّثَنَا مُحَمَّدُ بْنُ جَعْفَرٍ، حَدَّثَنَا شُعْبَةُ، عَنْ عَمْرِو بْنِ مُرَّةَ، عَنْ عَاصِمٍ الْعَنَزِيِّ، عَنِ ابْنِ جُبَيْرِ بْنِ مُطْعِمٍ، عَنْ أَبِيهِ، قَالَ رَأَيْتُ رَسُولَ اللَّهِ ـ صلى الله عليه وسلم ـ حِينَ دَخَلَ فِي الصَّلاَةِ قَالَ "" اللَّهُ أَكْبَرُ كَبِيرًا اللَّهُ أَكْبَرُ كَبِيرًا - ثَلاَثًا - الْحَمْدُ لِلَّهِ كَثِيرًا الْحَمْدُ لِلَّهِ كَثِيرًا - ثَلاَثًا - سُبْحَانَ اللَّهِ بُكْرَةً وَأَصِيلاً - ثَلاَثَ مَرَّاتٍ - اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الشَّيْطَانِ الرَّجِيمِ مِنْ هَمْزِهِ وَنَفْخِهِ وَنَفْثِهِ "" . قَالَ عَمْرٌو هَمْزُهُ الْمُوتَةُ وَنَفْثُهُ الشِّعْرُ وَنَفْخُهُ الْكِبْرُ .",জুবায়র বিন মুতঈম (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আমি রসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লামকে) দেখেছি যে, তিনি সালাতে প্রবেশ করে বলতেন: “আল্লাহু আকবার কাবীরা” তিনবার, “আলহামদু লিল্লাহি কাসীরা” তিনবার এবং “সুবহানাল্লাহি বুকরাতাও ওয়া আসীলা” তিনবার। অতঃপর তিনি বলতেনঃ (আল্লাহুম্মা ইন্নী আউজুবিকা মিনাশ শাইতনির রজীম, মিন হামযিহি ওয়া নাফখিহি ওয়া নাফসিহি।) “ (হে আল্লাহ্! আমি বিতাড়িত শয়তানের শয়তানী, তার অশ্লীল কবিতা এবং তার অহংকার হতে আপনার নিকট আশ্রয় চাই) আমর (রহঃ) বলেন, অর্থ তার শয়তানী অর্থ তার অশ্লীল কবিতা এবং অর্থ তার অহমিকা। [৮০৫]"
সুনানে ইবনে মাজাহ,৮০৮,,"حَدَّثَنَا عَلِيُّ بْنُ الْمُنْذِرِ، حَدَّثَنَا ابْنُ فُضَيْلٍ، حَدَّثَنَا عَطَاءُ بْنُ السَّائِبِ، عَنْ أَبِي عَبْدِ الرَّحْمَنِ السُّلَمِيِّ، عَنِ ابْنِ مَسْعُودٍ، عَنِ النَّبِيِّ ـ صلى الله عليه وسلم ـ قَالَ "" اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الشَّيْطَانِ الرَّجِيمِ وَهَمْزِهِ وَنَفْخِهِ وَنَفْثِهِ "" . قَالَ هَمْزُهُ الْمُوتَةُ وَنَفْثُهُ الشِّعْرُ وَنَفْخُهُ الْكِبْرُ .",ইবনু মাসঊদ (রাঃ) থেকে বর্ণিত:,"নবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলতেনঃ (আল্লাহুম্মা ইন্নী আউযুবিকা মিনাশ শাইতনির রজীম ওয়া হামযিহি, ওয়া নাফখিহি ওয়া নাফসিহি)। রাবী বলেন, এর অর্থ, তার শয়তানী, অর্থ, তার অশ্লীল কবিতা এবং -এর অর্থ, তার অহমিকা। [৮০৬]"
সুনানে ইবনে মাজাহ,৮০৯,,حَدَّثَنَا عُثْمَانُ بْنُ أَبِي شَيْبَةَ، حَدَّثَنَا أَبُو الأَحْوَصِ، عَنْ سِمَاكِ بْنِ حَرْبٍ، عَنْ قَبِيصَةَ بْنِ هُلْبٍ، عَنْ أَبِيهِ، قَالَ كَانَ النَّبِيُّ ـ صلى الله عليه وسلم ـ يَؤُمُّنَا فَيَأْخُذُ شِمَالَهُ بِيَمِينِهِ .,হুলব (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, নবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) আমাদের ইমামতি করতেন। তিনি তাঁর ডান হাত দিয়ে বাম হাত ধরতেন।[৮০৭]"
সুনানে ইবনে মাজাহ,৮১০,,حَدَّثَنَا عَلِيُّ بْنُ مُحَمَّدٍ، حَدَّثَنَا عَبْدُ اللَّهِ بْنُ إِدْرِيسَ، ح وَحَدَّثَنَا بِشْرُ بْنُ مُعَاذٍ الضَّرِيرُ، حَدَّثَنَا بِشْرُ بْنُ الْمُفَضَّلِ، قَالاَ حَدَّثَنَا عَاصِمُ بْنُ كُلَيْبٍ، عَنْ أَبِيهِ، عَنْ وَائِلِ بْنِ حُجْرٍ، قَالَ رَأَيْتُ النَّبِيَّ ـ صلى الله عليه وسلم ـ يُصَلِّي فَأَخَذَ شِمَالَهُ بِيَمِينِهِ .,ওয়ায়িল বিন হুজর (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আমি নবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) কে সালাত আদায় করতে দেখেছি। তিনি তাঁর ডান হাত দিয়ে তাঁর বাম হাত ধরেন। [৮০৮]"
সুনানে ইবনে মাজাহ,৮১১,,حَدَّثَنَا أَبُو إِسْحَاقَ الْهَرَوِيُّ، إِبْرَاهِيمُ بْنُ عَبْدِ اللَّهِ بْنِ حَاتِمٍ أَنْبَأَنَا هُشَيْمٌ، أَنْبَأَنَا الْحَجَّاجُ بْنُ أَبِي زَيْنَبَ السُّلَمِيُّ، عَنْ أَبِي عُثْمَانَ النَّهْدِيِّ، عَنْ عَبْدِ اللَّهِ بْنِ مَسْعُودٍ، قَالَ مَرَّ بِي النَّبِيُّ ـ صلى الله عليه وسلم ـ وَأَنَا وَاضِعٌ يَدِي الْيُسْرَى عَلَى الْيُمْنَى فَأَخَذَ بِيَدِي الْيُمْنَى فَوَضَعَهَا عَلَى الْيُسْرَى .,আবদুল্লাহ ইবনু মাসঊদ (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, নবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) আমার নিকট দিয়ে যাচ্ছিলেন, আমি আমার বাম হাত ডান হাতের উপর রেখেছিলাম। তিনি আমার ডান হাত ধরে বাম হাতের উপর রাখেন। [৮০৯]"
সুনানে ইবনে মাজাহ,৮১২,,حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ، حَدَّثَنَا يَزِيدُ بْنُ هَارُونَ، عَنْ حُسَيْنٍ الْمُعَلِّمِ، عَنْ بُدَيْلِ بْنِ مَيْسَرَةَ، عَنْ أَبِي الْجَوْزَاءِ، عَنْ عَائِشَةَ، قَالَتْ كَانَ رَسُولُ اللَّهِ ـ صلى الله عليه وسلم ـ يَفْتَتِحُ الْقِرَاءَةَ بِـ {الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ },আয়িশা (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) আলহামদু লিল্লাহি রাবিবল আলামীন (সূরা ফাতিহাহ) দ্বারা কিরাআত শুরু করতেন। [৮১০]"
