বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
মিশকাতুল মাসাবিহ,৫৬৪,সহিহ হাদিস,عَنْ أَبِيْ هُرَيْرَةَ قَالَ قَالَ رَسُولُ اللهِ ﷺ الصَّلَوَاتُ الْخَمْسُ وَالْجُمُعَةُ إِلَى الْجُمُعَةِ وَرَمَضَانُ إِلى رَمَضَانَ مُكَفِّرَاتٌ مَا بَيْنَهُنَّ إِذَا اجْتُنِبَتِ الْكَبَائِرُ. رَوَاهُ مُسْلِمٌ,আবূ হুরায়রাহ্ (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেছেনঃ পাঁচ ওয়াক্ত সালাত, এক জুমু’আহ হতে অপর জুমু’আহ পর্যন্ত এবং এক রমযান হতে আরেক রমযান পর্যন্ত সব গুনাহের কাফ্‌ফারাহ্‌ হয়, যদি কাবীরাহ গুনাহ সমূহ বেঁচে থাকা হয়। [১]"
মিশকাতুল মাসাবিহ,৫৬৫,সহিহ হাদিস,وَعَنْهُ قَالَ قَالَ رَسُوْلُ اللهِ ﷺ أَرَأَيْتُمْ لَوْ أَنَّ نَهَرًا بِبَابِ أَحَدِكُمْ يَغْتَسِلُ فِيهِ كُلَّ يَوْمٍ خَمْسًا هل يُبْقى مِنْ دَرَنِه شَىْءٌ قَالُوا لَا يُبْقى مِنْ دَرَنِه شَيْئٌ قَالَ فَذلِكَ مَثَلُ الصَّلَوَاتِ الْخَمْسِ يَمْحُو اللهُ بِهِنَّ الْخَطَايَا. مُتَّفَقٌ عَلَيْهِ,আবূ হুরায়রাহ্ (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) (সাহাবীগণের উদ্দেশ্যে ) বললেন, আচ্ছা বল তো, তোমাদের কারো বাড়ীর দরজার কাছে যদি একটি নদী থাকে, যাতে সে নদীতে পাঁচবার গোসল করে তাহলে কি তার শরীরে কোন ময়লা থাকতে পারে? সাহাবীগ্ণ উত্তরে বললেন, না কোন ময়লা থাকতে পারে না। তিনি (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বলেন, এ দৃষ্টান্ত হল পাঁচ ওয়াক্ত সালাতের। এ পাঁচ ওয়াক্ত সালাত আদায়কারীর গুনাসমূহ আল্লাহ্‌ ক্ষমা করে দেন । [১]"
মিশকাতুল মাসাবিহ,৫৬৬,সহিহ হাদিস,وَعَنْ ابْنِ مَسْعُودٍ قَالَ إِنَّ رَجُلًا أَصَابَ مِنْ امْرَأَةٍ قُبْلَةً فَأَتَى النَّبِيَّ ﷺ فَأَخْبَرَه فَأَنْزَلَ اللهُ تَعَالى أَقِمِ الصَّلَاةَ طَرَفَىِ النَّهَارِ وَزُلَفًا مِنَ اللَّيْلِ إِنَّ الْحَسَنَاتِ يُذْهِبْنَ السَّيِّئَاتِ فَقَالَ الرَّجُلُ يَا رَسُولَ اللهِ أَلِي هَذَا قَالَ لِجَمِيعِ أُمَّتِي كُلِّهِمْ وَفِىْ رَوَايَةٍ لِّمَنْ عَمِلَ بِهَا مِنْ اُمَّتِىْ. مُتَّفَقٌ عَلَيْهِ,‘আবদুল্লাহ (বিন মাস’উদ) (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, জনৈক ব্যক্তি এক মহিলাকে চুমু দিয়েছিল । তারপর সে নাবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) -এর নিকট এসে বিষয়টি বলল। এ সময়ে আল্লাহ্‌ ওয়াহী নাযিল করেনঃ “সালাত ক্বায়িম কর দিনের দু’ অংশে, রাতের কিছু অংশে । নিশ্চয় নেক কাজ পাপ কাজকে দূর করে দেয়” (সুরাহ হূদ ১১:১১৪) । [১]"
মিশকাতুল মাসাবিহ,৫৬৭,সহিহ হাদিস,وَعَنْ أَنَسِ قَالَ جَاءَ رَجُلٌ فَقَالَ يَا رَسُولَ اللهِ إِنِّي أَصَبْتُ حَدًّا فَأَقِمْهُ عَلَيَّ قَالَ وَلَمْ يَسْأَلْهُ عَنْهُ قَالَ وَحَضَرَتِ الصَّلَاةُ فَصَلّى مَعَ رَسُوْلِ اللهِ ﷺ فَلَمَّا قَضَى النَّبِيُّ ﷺ الصَّلَاةَ قَامَ الرَّجُلُ فَقَالَ يَا رَسُولَ اللهِ إِنِّي أَصَبْتُ حَدًّا فَأَقِمْ فِيَّ كِتَابَ اللهِ قَالَ أَلَيْسَ قَدْ صَلَّيْتَ مَعَنَا قَالَ نَعَمْ قَالَ فَإِنَّ اللهَ قَدْ غَفَرَ لَكَ ذَنْبَكَ أَوْ قَالَ حَدَّكَ. مُتَّفَقٌ عَلَيْهِ,আনাস (রহঃ) থেকে বর্ণিত:,"তিনি বলেন, এক লোক এসে বলল, হে আল্লাহর রসূল ! আমি ‘হাদ্দ’ যোগ্য-এর কাজ (অপরাধ) করে ফেলেছি। আমার উপর তা প্রয়োগ করুন। বর্ণনাকারী বলেন, রসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) তার অপরাধ সম্পর্কে কিছুই জিজ্ঞেস করলেন না। বরং সলাতের ওয়াক্ত হয়ে গেলে নাবী (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) সলাত আদায় করলেন। লোকটিও রসূলের সাথে সলাত আদায় করল। তিনি (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) সলাত শেষ করলে লোকটি দাঁড়িয়ে বলল, হে আল্লাহর রসূল! আমি হাদ্দ-এর কাজ করেছি। আমার উপর আল্লাহর কিতাবের নির্দিষ্ট হাদ্দ জারী করুন। উত্তরে তিনি (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বললেন, তুমি কি আমাদের সাথে সলাত আদায় করনি। লোকটি বলল, হ্যাঁ, করেছি। তিনি (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বললেন, (এ সলাতের মাধ্যমে) আল্লাহ তোমার গুনাহ বা হাদ্দ মাফ করে দিয়েছেন। [১]"
মিশকাতুল মাসাবিহ,৫৬৮,সহিহ হাদিস,وَعَنِ ابْنِ مَسْعُوْدٍ قَالَ سَأَلْتُ النَّبِيَّ ﷺ أَيُّ الْعَمَلِ أَحَبُّ إِلَى اللهِ قَالَ الصَّلَاةِ لَوَقْتِهَا قُلْتُ ثُمَّ أَيٌّ قَالَ ثُمَّ بِرُّ الْوَالِدَيْنِ قُلْتُ ثُمَّ أَيٌّ قَالَ الْجِهَادُ فِي سَبِيلِ اللهِ قَالَ حَدَّثَنِىْ بِهِنَّ وَلَوِ اسْتَزَدْتُه لَزَادَنِي. مُتَّفَقٌ عَلَيْهِ,[‘আবদুল্লাহ (রাঃ)] ইবনু মাস্‘ঊদ (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আমি নাবী (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) - কে জিজ্ঞেস করলাম, কোন্ কাজ (‘আমাল) আল্লাহর কাছে বেশী প্রিয়? তিনি( সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বললেন, সঠিক সময়ে সলাত আদায় করা। আমি বললাম, এরপর কোন্ কাজ? তিনি বললেন, মা-বাবার সাথে সদ্ব্যবহার করা। আমি আবার জিজ্ঞেস করলাম, এরপর কোন্ কাজ? তিনি বললেন, আল্লাহর পথে জিহাদ করা। রাবী [ইবনু মাস’উদ(রহঃ)] বলেন, তিনি (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) আমাকে এসব উত্তর দিলেন। আমি যদি আরও জিজ্ঞেস করতাম, তিনি (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) আমাকে আরও কথা বলতেন। [১]"
মিশকাতুল মাসাবিহ,৫৬৯,সহিহ হাদিস,وَعَنْ جَابِرٍ قَالَ قَالَ رَسُوْلُ اللهِ ﷺ بَيْنَ الْعَبْدِ وَبَيْنَ الْكُفْرِ تَرْكُ الصَّلَاةِ. رَوَاهُ مُسْلِمٌ,জাবির (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেনঃ (মু’মিন) বান্দা ও কুফরীর মধ্যে পার্থক্য হল সলাত পরিত্যাগ করা। [১]"
মিশকাতুল মাসাবিহ,৫৭০,সহিহ হাদিস,عَنْ عُبَادَةَ بْنِ الصَّامِتِ قَالَ قَالَ رَسُوْلُ اللهِ ﷺ خَمْسُ صَلَوَاتٍ افْتَرَضَهُنَّ اللّهُ تَعَالى مَنْ أَحْسَنَ وُضُوءَهُنَّ وَصَلَّاهُنَّ لِوَقْتِهِنَّ وَأَتَمَّ رُكُوعَهُنَّ وَخُشُوعَهُنَّ كَانَ لَه عَلَى اللهِ عَهْدٌ أَنْ يَغْفِرَ لَه وَمَنْ لَمْ يَفْعَلْ فَلَيْسَ لَه عَلَى اللهِ عَهْدٌ إِنْ شَاءَ غَفَرَ لَه وَإِنْ شَاءَ عَذَّبَه. رَوَاهُ أَحْمَد وأَبُوْ دَاوٗدَ وروى مالك وَالنَّسَائِـيُِّ نحوه,‘উবাদাহ্ ইবনুস্ সামিত (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেনঃ পাঁচ ওয়াক্ত সলাত, যা আল্লাহ তা’আলা (বান্দার জন্য) ফারয্ করেছেন। যে ব্যক্তি এ সলাতের জন্য ভালভাবে উযূ করবে, সঠিক সময়ে আদায় করবে এবং এর রুকূ’ ও খুশুকে পরিপূর্ণরূপে করবে, তার জন্য আল্লাহর ওয়া’দা রয়েছে যে, তিনি তাকে ক্ষমা করে দিবেন। আর যে তা না করবে, তার জন্য আল্লাহর ওয়া’দা নেই। ইচ্ছা করলে তিনি ক্ষমা করে দিতে পারেন আর ইচ্ছা করলে শাস্তিও দিতে পারেন। [৫৮৩] মালিক এবং নাসায়ী অনুরূপ বর্ণনা করেছেন। [১]"
মিশকাতুল মাসাবিহ,৫৭১,সহিহ হাদিস,وَعَنْ أَبِيْ أُمَامَةَ قَالَ قَالَ رَسُوْلُ اللهِ ﷺ صَلُّوا خَمْسَكُمْ وَصُومُوا شَهْرَكُمْ وَأَدُّوا زَكَاةَ أَمْوَالِكُمْ وَأَطِيعُوا ذَا أَمْرِكُمْ تَدْخُلُوا جَنَّةَ رَبِّكُمْ. رَوَاهُ أَحْمَد وَالتِّرْمِذِيُّ,আবূ উমামাহ্ (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেনঃ তোমাদের উপর ফারয্ করা পাঁচ ওয়াক্ত সলাত আদায় কর, তোমাদের জন্য নির্দিষ্ট করা মাসটির সিয়াম (রোযা) পালন কর, আদায় কর তোমাদের ধন- সম্পদের যাকাত এবং তোমাদের নেতৃবৃন্দের অনুগত্য কর। তাহলে তোমাদের রবের জান্নাতে প্রবেশ করতে পারবে। [১]"
মিশকাতুল মাসাবিহ,৫৭২,হাসান হাদিস,وَعَنْ عَمْرِو بْنِ شُعَيْبٍ عَنْ أَبِيهِ عَنْ جَدِّه قَالَ قَالَ رَسُولُ اللهِ ﷺ مُرُوا أَوْلَادَكُمْ بِالصَّلَاةِ وَهُمْ أَبْنَاءُ سَبْعِ سِنِينَ وَاضْرِبُوهُمْ عَلَيْهَا وَهُمْ أَبْنَاءُ عَشْرٍ وَفَرِّقُوا بَيْنَهُمْ فِي الْمَضَاجِعِ. رَوَاهُ أَبُوْ دَاوٗدَ وَكَذَا رَوَاهُ فِىْ شَرْحِ السُّنَّةِ عَنْهُ,আমর ইবনু শু‘আয়ব (রহঃ) থেকে বর্ণিত:,"তিনি বলেন, রসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম) বলেছেনঃ যখন তোমার সন্তানদের বয়স সাত বছরে পৌছবে তখন তাদেরকে সলাত আদায়ের জন্য নির্দেশ দিবে। আর (সলাত আদায় করার জন্য) তাদের শাস্তি দিবে যখন তারা দশ বছরে পৌছবে এবং তাদের ঘুমানোর স্থান পৃথক করে দিবে। [১] শারহে সুন্নাহ- তে এভাবে রয়েছে।"
মিশকাতুল মাসাবিহ,৫৭৩,নির্ণীত নয়,وَفِىْ الْمَصَابِيْحِ عَنْ سَبْرَةَ بْنِ مَعْبَدٍ,সাবরাহ্ ইবনু মা‘বাদ (রহঃ) থেকে বর্ণিত:,কিন্তু মাসাবীহ-তে সাবরাহ্ বিন মা’বাদ হতে বর্ণিত হয়েছে।
