বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
মিশকাতে জয়িফ হাদিস,১,দুর্বল হাদিস,,আবুযার (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম) বলেছেন, সর্বোত্তম কাজ হ’ল আল্লাহর জন্য ভালবাসা এবং আল্লাহর জন্য শক্রতা করা।” তাহক্বীক্ব : হাদীছটির সনদ যঈফ। ইয়াযীদ ইবনু আবী যিয়াদ নামের ব্যক্তি যঈফ। এছাড়া আরেকজন রাবী আছে, তার নাম উল্লেখ করা হয়নি, সে অপরিচিত।"
মিশকাতে জয়িফ হাদিস,২,দুর্বল হাদিস,,মু’আয ইবনু জাবাল (রাঃ) থেকে বর্ণিত:,"রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম) আমাকে বলেছেন, জান্নাতের চাবি হল, ‘লা ইলা-হা ইল্লাল্লাহু’ বলে সাক্ষ্য প্ৰদান করা। তাহক্বীক্ব : যঈফ। উক্ত হাদীছের সনদে শাহর ইবনু হাওশাব আছে। সে মু’আয (রাঃ) থেকে হাদীছ শ্রবণ করেনি। এছাড়াও ইসমাঈল ইবনু আইয়াশ নামের রাবীও যঈফ।"
মিশকাতে জয়িফ হাদিস,৩,দুর্বল হাদিস,,ওছমান (রাঃ) থেকে বর্ণিত:,"নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম) যখন মারা গেলেন তখন তাঁর ছাহাবীদের অনেকে চিন্তিত হয়ে পড়লেন। এমনকি তাদের কারো মনে দ্বিধাও সৃষ্টি হল। ওছমান (রাঃ) বলেন, আমিও তাদের অন্যতম। এমন সময় ওমর (রাঃ) আমার নিকট দিয়ে গেলেন এবং আমাকে সালাম দিলেন। কিন্তু আমি বুঝতে পারলাম না। ওমর (রাঃ) আবুবকর (রাঃ)-এর নিকট গিয়ে অভিযোগ করলেন। অতঃপর উভয়ে আমার নিকট আসলেন এবং আমাকে সালাম করলেন। অতঃপর আবুবকর আমাকে জিজ্ঞেস করলেন, ওছমান আপনার কী হয়েছে? আপনি কেন আপনার ভাই ওমরের সালামের জবাব দেননি? আমি বললাম, আমি তো এরূপ করিনি। ওমর (রাঃ) বললেন, আল্লাহর কসম! আপনি এরূপ করেছেন। ওছমান (রাঃ) বললেন, আল্লাহর কসম! আমি বুঝতে পারিনি যে আপনি এই দিক দিয়ে গেছেন বা আমাকে সালাম দিয়েছেন। এরপর আবুবকর (রাঃ) বললেন, ওছমান ঠিকই বলেছেন। অতঃপর আবুবকর (রাঃ) বললেন, নিশ্চয় আপনাকে কোন দুশ্চিন্তা এ থেকে বিরত রেখেছিল। আমি বললাম, জি। তিনি আবার জিজ্ঞেস করলেন, সেটা কী? আমি বললাম, আল্লাহ তা'আলা তার নবীকে তুলে নিলেন। অথচ আমরা তাকে এই বিষয়টি থেকে বাঁচার উপায় জানতে পারলাম না। আবুবকর (রাঃ) বললেন, দুশ্চিন্তার কারণ নেই। আমি তাঁকে এ সম্পর্কে জিজ্ঞেস করেছিলাম। একথা শুনে আমি তার দিকে অগ্রসর হলাম এবং বললাম, আমার পিতা-মাতা আপনার জন্য কুরবান হোক! আপনিই এর জন্য উপযুক্ত ব্যক্তি। আবুবকর (রাঃ) বলেন, আমি একদা রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম)-কে জিজ্ঞেস করলাম এ থেকে বাঁচার উপায় কী? তিনি বললেন, যে ব্যক্তি ঐ কালেমা গ্রহণ করল। যা আমি আমার চাচার কাছে পেশ করেছিলাম; আর তিনি তা প্ৰত্যাখ্যান করেছিলেন। ঐটাই নাজাতের পথ। তাহক্বীক্ব : যঈফ।"
মিশকাতে জয়িফ হাদিস,৪,দুর্বল হাদিস,,মু’আয বিন জাবাল (রাঃ) থেকে বর্ণিত:,"তিনি একদা নবী করীম (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম)-কে জিজ্ঞেস করেন, কোন ঈমান সর্বোত্তম? উত্তরে তিনি বললেন, কাউকে মিত্র ভাবলে আল্লাহর জন্যই ভাববে। আর কাউকে শক্ৰ ভাবলে আল্লাহর সন্তষ্টির জন্যই ভাববে। আর নিজের জিহবাকে আল্লাহর যিকিরে ব্যস্ত রাখবে। মু’আয বললেন, হে আল্লাহর রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম)! সেটা কী। তিনি বললেন, অন্যের জন্য তাই পসন্দ করবে যা তোমার জন্য পসন্দ কর। এভাবে নিজের জন্য যা অপসন্দ করবে অন্যের জন্যও তা অপসন্দ করবে। তাহক্বীক্ব : যঈফ। এর সনদে যুবান ইবনু ফায়েদ ও ইবনু লাহিয়া নামে দুইজন দুর্বল রাবী আছে।"
মিশকাতে জয়িফ হাদিস,৫,দুর্বল হাদিস,,ছাফওয়ান ইবনু আসসাল (রাঃ) থেকে বর্ণিত:,"একদিন এক ইহুদী তার সাথীকে বলল, এই নবীর কাছে আমাকে নিয়ে চল। তার সাথী বলল, তাকে নবী বল না। কারণ তোমার মুখে এই কথা শুনলে সে গর্বে আটখানা হয়ে যাবে। অতঃপর তারা উভয়ে রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম)-এর নিকট আসল এবং তাঁকে মূসা (আঃ)-এর নয়টি মু'জিযা সম্পর্কে প্রশ্ন করল। তিনি উত্তরে বললেন, (১) আল্লাহর সাথে কাউকে শরীক করবে না। (২) চুরি করবে না (৩) ব্যভিচার করবে না (৪) অন্যায়ভাবে কাউকে হত্যা করবে না- যা আল্লাহ হারাম করেছেন (৫) কোন নিরপরাধ ব্যক্তিকে কোন ক্ষমতাবান হাকিমের কাছে নিয়ে যাবে না- যাতে তিনি তাকে প্রাণদণ্ডে দণ্ডিত করেন (৬) জাদু করবে না (৭) সূদ খাবে না (৮) কোন সতী-সাধ্বী নারীকে ব্যভিচারের অপবাদ দিবে না (৯) জিহাদকালে পলায়ন করবে না এবং বিশেষ করে তোমরা ইহুদীদের শনিবারের নিয়ম পালন করবে না। ছাফওয়ান বলেন, তারা উভয়ে রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম)-এর পায়ে চুম্বন করল এবং বলল, আমরা সাক্ষ্য দিচ্ছি যে আপনি সত্য নবী। রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম) বললেন, তাহলে আমার অনুসরণে তোমাদের অন্তরায় কোথায়? তারা বলল, দাউদ (আঃ) আল্লাহর নিকট দুআ করেছিলেন যে, নবী যেন বরাবর তাঁর বংশের মধ্যেই হন। সুতরাং আমাদের আশংকা হয় আমরা আপনার অনুসরণ করলে ইহুদীরা আমাদেরকে হত্যা করবে।” তাহক্বীক্ব : যঈফ। উক্ত হাদীছের সনদে আব্দুল্লাহ ইবনু সালামা নামে দুর্বল রাবী আছে। ইমাম বুখারী, ইবনু কাছীর তাকে যঈফ বলেছেন।"
মিশকাতে জয়িফ হাদিস,৬,দুর্বল হাদিস,,আনাস (রাঃ) থেকে বর্ণিত:,"রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম) বলেছেন, তিনটি বিষয় ঈমানের বুনিয়াদের অন্তর্ভুক্ত। (১) যে ব্যক্তি ‘লা ইলাহা ইল্লাল্লাহ’ কালেমা পড়বে, তার প্রতি আক্রমণ করা হতে বিরত থাকবে; কোন গুনাহর দরুন তাকে কাফের মনে করবে না এবং কোন আমলের দরুন তাকে ইসলাম হতে খারিজ করে দিবে না। (২) জিহাদ- যেদিন হতে আল্লাহ আমাকে জিহাদের হুকুম দিয়েছেন সেদিন হতে এই উম্মতের শেষ যামানার লোকেরা দাজালের সাথে জিহাদ করতে থাকবে, কোন অত্যাচারী শাসকের অত্যাচার বা কোন সুবিচারকের সুবিচার জিহাদকে বাতিল করতে পারবে না এবং (৩) তাকদীরে বিশ্বাস করা। তাহক্বীক্ব : যঈফ। ইয়াযীদ ইবনু আবী নুশবাহ নামে একজন যঈফ রাবী আছে।"
মিশকাতে জয়িফ হাদিস,৭,দুর্বল হাদিস,,ইবনু মাসউদ (রাঃ) থেকে বর্ণিত:,"রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম) বলেছেন, মানুষের সাথে শয়তানের একটি ছোঁয়া আছে এবং ফেরেশতারও একটি ছোঁয়া আছে। শয়তানের ছোঁয়া হল অমঙ্গলের ভীতি প্ৰর্দশন এবং সত্যকে মিথ্যা প্ৰতিপন্ন করা। পক্ষান্তরে ফেরেশতার ছোঁয়া হল মঙ্গলের সুসংবাদ প্ৰদান এবং সত্যের প্রতি সমর্থন জ্ঞাপন। সুতরাং যে ব্যক্তি দ্বিতীয় অবস্থা গ্ৰহণ করবে সে যেন মনে করে এটা আল্লাহর পক্ষ হতে এবং আল্লাহর শুকরিয়া আদায় করে। পক্ষান্তরে যে ব্যক্তি অপর অবস্থা অনুভব করবে, সে যেন শয়তান হতে আল্লাহর নিকট পরিত্রাণ চায়। তাহক্বীক্ব : যঈফ।"
মিশকাতে জয়িফ হাদিস,৮,দুর্বল হাদিস,,কাসেম ইবনু মুহাম্মাদ থেকে বর্ণিত:,"এক ব্যক্তি তাকে জিজ্ঞেস করল, ছালাতের মধ্যে আমার মনে সন্দেহ সৃষ্টি হয়। এটা আমার পক্ষে বড় কষ্টদায়ক। কাসেম উত্তরে বললেন, তুমি তোমার ছালাত পূর্ণ করতে থাক। কারণ ঐটা তোমার থেকে দূর হবে না যতক্ষণ না ছালাত পূর্ণ কর এবং বল যে আমি ছালাত পূর্ণ করিনি। তাহক্বীক : যঈফ।"
মিশকাতে জয়িফ হাদিস,৯,দুর্বল হাদিস,,মুসলিম ইবনু ইয়াসার (রাঃ) থেকে বর্ণিত:,"ওমর ইবনুল খাত্ত্বাব (রাঃ) কে কুরআনের এই আয়াত সম্পর্কে জিজ্ঞেস করা হল, ‘যখন তোমার প্রভু আদম সন্তানদের পিঠ হতে তাদের সমস্ত সন্তানকে বের করলেন’। ওমর (রাঃ) বলেন, আমি শুনেছি, রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম) কে এ সম্পর্কে প্রশ্ন করা হলে তিনি উত্তরে বলেন, আল্লাহ্‌ তা’আলা আদম (আঃ) কে সৃষ্টি করলেন। অতঃপর আপন ডান হাত দ্বারা তাঁর পিঠে বুলালেন এবং সেখান থেকে একদল সন্তান বের করলেন। অতঃপর বললেন, এদেরকে আমি জান্নাতের জন্য সৃষ্টি করেছি, জান্নাতের কাজই তারা করবে। এক সাহাবী প্রশ্ন করলেন, হে আল্লাহ্‌র রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম) তাহলে আমল কেমন হবে? রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম) বললেন, আল্লাহ তা’আলা যখন কোন বান্দাকে জান্নাতের জন্য সৃষ্টি করেন তখন তার দ্বরা জান্নাতের কাজই করিয়ে নেন। অবশেষে জান্নাতীদের কোন কাজ করে মৃত্যুবরণ করে। আর আল্লাহ তা’য়ালা এর দ্বারা তাকে জান্নাতে প্রবেশ করান। অনুরূপভাবে আল্লাহ যখন কোন বান্দাকে জাহান্নামের জন্য সৃষ্টি করেন, তার দ্বারা জাহান্নামের কাজই করিয়ে নেন। অবশেষে সে জাহান্নামীদের কোন কাজ করেই মৃত্যু বরণ করে এবং আল্লাহ তাকে জাহান্নামে প্রবেশ করান। তাহক্বীক্ব : যঈফ।"
মিশকাতে জয়িফ হাদিস,১০,দুর্বল হাদিস,,আবু খুযামা থেকে বর্ণিত:,"আবু খুযামা তার পিতা হতে বর্ণনা করেন, আমি একদিন রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম) কে জিজ্ঞেস বরলাম, হে আল্লাহ্‌র রাসূল (সাল্লাল্লাহু ‘আলাইহি ওয়াসাল্লাম)! আমরা যে মন্ত্র পাঠ করে থাকি এবং কোন ঔষধি দ্বারা ঔষধ করে থাকি অথবা কোন উপায় দ্বারা আত্মরক্ষা করার চেষ্টা করি, তা কি তাক্বদীরের কিছু প্রতিরোধ করতে পারে? তিনি বললেন, তোমাদের এ সকল চেষ্টা তাক্বদীরের অন্তর্ভুক্ত। তাহক্বীক : যঈফ।"
