বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
সুনানে আন-নাসায়ী,৮৭৬,সহিহ হাদিস,أَخْبَرَنَا عَمْرُو بْنُ مَنْصُورٍ قَالَ: حَدَّثَنَا عَلِيُّ بْنُ عَيَّاشٍ قَالَ: حَدَّثَنَا شُعَيْبٌ، عَنِ الزُّهْرِيِّ قَالَ: حَدَّثَنِي سَالِمٌ، ح وَأَخْبَرَنِي أَحْمَدُ بْنُ مُحَمَّدِ بْنِ الْمُغِيرَةِ قَالَ: حَدَّثَنَا عُثْمَانُ هُوَ ابْنُ سَعِيدٍ، عَنْ شُعَيْبٍ، عَنْ مُحَمَّدٍ وَهُوَ الزُّهْرِيُّ قَالَ: أَخْبَرَنِي سَالِمُ بْنُ عَبْدِ اللَّهِ بْنِ عُمَرَ، عَنْ ابْنِ عُمَرَ قَالَ: رَأَيْتُ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ إِذَا افْتَتَحَ التَّكْبِيرَ فِي الصَّلَاةِ رَفَعَ يَدَيْهِ حِينَ يُكَبِّرُ حَتَّى يَجْعَلَهُمَا حَذْوَ مَنْكِبَيْهِ، وَإِذَا كَبَّرَ لِلرُّكُوعِ فَعَلَ مِثْلَ ذَلِكَ، ثُمَّ إِذَا قَالَ: «سَمِعَ اللَّهُ لِمَنْ حَمِدَهُ». فَعَلَ مِثْلَ ذَلِكَ وَقَالَ: «رَبَّنَا وَلَكَ الْحَمْدُ». وَلَا يَفْعَلُ ذَلِكَ حِينَ يَسْجُدُ وَلَا حِينَ يَرْفَعُ رَأْسَهُ مِنَ السُّجُودِ,ইবন উমর (রাঃ) থেকে বর্ণিত:,"তিনি বলেনঃ আমি রাসূলুল্লাহ্ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-কে দেখেছি, তিনি যখন সালাতে তাকবীর আরম্ভ করতেন তখন তাকবীরের সময় তাঁর উভয় হাত উঠাতেন এবং হাত দু'খানাকে উভয় কাঁধ বরাবর করতেন। আর যখন রুকূ করার জন্য তাকবীর বলতেন তখনও এরূপ করতেন। এরপর যখন সামি'আল্লাহু লিমান হামিদাহ্' বলতেন তখনও এরূপ করতেন এবং বলতেনঃ 'রাব্বানা ওয়া লাকাল হামদ' আর যখন তিনি সিজদা করতেন তখন এবং যখন সিজদা থেকে মাথা উঠাতেন তখন এরূপ করতেন না।"
সুনানে আন-নাসায়ী,৮৭৭,সহিহ হাদিস,أَخْبَرَنَا سُوَيْدُ بْنُ نَصْرٍ قَالَ: أَنْبَأَنَا عَبْدُ اللَّهِ بْنُ الْمُبَارَكِ، عَنْ يُونُسَ، عَنْ الزُّهْرِيِّ قَالَ: أَخْبَرَنِي سَالِمٌ، عَنْ ابْنِ عُمَرَ قَالَ: رَأَيْتُ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ إِذَا قَامَ إِلَى الصَّلَاةِ رَفَعَ يَدَيْهِ حَتَّى تَكُونَا حَذْوَ مَنْكِبَيْهِ، ثُمَّ يُكَبِّرُ قَالَ: وَكَانَ يَفْعَلُ ذَلِكَ حِينَ يُكَبِّرُ لِلرُّكُوعِ وَيَفْعَلُ ذَلِكَ حِينَ يَرْفَعُ رَأْسَهُ مِنَ الرُّكُوعِ وَيَقُولُ: «سَمِعَ اللَّهُ لِمَنْ حَمِدَهُ». وَلَا يَفْعَلُ ذَلِكَ فِي السُّجُودِ,ইবন উমর (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আমি রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) -কে দেখেছি, যখন তিনি সালাতের জন্য দাঁড়াতেন উভয় হাত উঠাতেন। এমনকি তাঁর হাত দু'খানা দু' কাঁধের বরাবর হয়ে যেত। এরপর তিনি তাকবীর বলতেন। বর্ণনাকারী বলেন, তিনি এরুপ করতেন যখন তিনি রুকুর জন্য তাকবীর বলতেন। আর যখন রুকূ থেকে মাথা উঠাতেন তখনও এরূপ করতেন আর বলতেনঃ সামি'আল্লাহু লিমান হামিদাহ্। আর তিনি সিজদায় এরূপ করতেন না।"
সুনানে আন-নাসায়ী,৮৭৮,সহিহ হাদিস,أَخْبَرَنَا قُتَيْبَةُ، عَنْ مَالِكٍ، عَنْ ابْنِ شِهَابٍ، عَنْ سَالِمٍ، عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ، أَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ كَانَ إِذَا افْتَتَحَ الصَّلَاةَ رَفَعَ يَدَيْهِ حَذْوَ مَنْكِبَيْهِ، وَإِذَا رَكَعَ وَإِذَا رَفَعَ رَأْسَهُ مِنَ الرُّكُوعِ رَفَعَهُمَا كَذَلِكَ وَقَالَ: «سَمِعَ اللَّهُ لِمَنْ حَمِدَهُ رَبَّنَا وَلَكَ الْحَمْدُ». وَكَانَ لَا يَفْعَلُ ذَلِكَ فِي السُّجُودِ,আবদুল্লাহ ইবন উমর (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) যখন সালাত আরম্ভ করতেন তখন দু'কাঁধ পর্যন্ত তাঁর উভয় হাত তুলতেন। আর যখন রুকূ করতেন এবং রুকূ থেকে মাথা তুলতেন তখনও দু'হাত এভাবে তুলতেন এবং বলতেনঃ সামি'আল্লাহু লিমান হামিদাহ্ রাব্বানা ওয়া লাকাল হামদ। আর তিনি সিজদার সময় এরূপ করতেন না।"
সুনানে আন-নাসায়ী,৮৭৯,সহিহ হাদিস,أَخْبَرَنَا قُتَيْبَةُ، قَالَ: حَدَّثَنَا أَبُو الْأَحْوَصِ، عَنْ أَبِي إِسْحَاقَ، عَنْ عَبْدِ الْجَبَّارِ بْنِ وَائِلٍ، عَنْ أَبِيهِ قَالَ: صَلَّيْتُ خَلْفَ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، فَلَمَّا افْتَتَحَ الصَّلَاةَ كَبَّرَ وَرَفَعَ يَدَيْهِ حَتَّى حَاذَتَا أُذُنَيْهِ، ثُمَّ يَقْرَأُ بِفَاتِحَةِ الْكِتَابِ فَلَمَّا فَرَغَ مِنْهَا قَالَ: «آمِينَ» يَرْفَعُ بِهَا صَوْتَهُ,ওয়ায়িল (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আমি রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-এর পেছনে সালাত আদায় করেছি। যখন তিনি সালাত আরম্ভ করতেন তখন তাকবীর বলতেন এবং তাঁর উভয় হাত দু'কান পর্যন্ত তুলতেন। এরপর সূরা ফাতিহা পাঠ করা আরম্ভ করতেন। আর তা শেষ করে ''আমীন'' বলতেন এবং তা বলার সময় তাঁর স্বর উচ্চ করতেন।"
সুনানে আন-নাসায়ী,৮৮০,সহিহ হাদিস,أَخْبَرَنَا مُحَمَّدُ بْنُ عَبْدِ الْأَعْلَى، قَالَ: حَدَّثَنَا خَالِدٌ قَالَ: حَدَّثَنَا شُعْبَةُ، عَنْ قَتَادَةَ قَالَ: سَمِعْتُ نَصْرَ بْنَ عَاصِمٍ، عَنْ مَالِكِ بْنِ الْحُوَيْرِثِ، وَكَانَ مِنْ أَصْحَابِ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، «أَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ كَانَ إِذَا صَلَّى رَفَعَ يَدَيْهِ حِينَ يُكَبِّرُ حِيَالَ أُذُنَيْهِ، وَإِذَا أَرَادَ أَنْ يَرْكَعَ، وَإِذَا رَفَعَ رَأْسَهُ مِنَ الرُّكُوعِ»,মালিক ইবন হুয়ায়রিছ (রাঃ) থেকে বর্ণিত:,"তিনি ছিলেন রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-এর অন্যতম সাহাবী থেকে বর্ণিত যে, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) যখন সালাত আদায় করতেন তখন তাঁর উভয় হাত কান পর্যন্ত তুলতেন। আর যখন তিনি রুকূ করার ইচ্ছা করতেন, আর যখন রুকূ থেকে মাথা উঠাতেন (তখনও এরূপ করতেন)।"
সুনানে আন-নাসায়ী,৮৮১,সহিহ হাদিস,أَخْبَرَنَا يَعْقُوبُ بْنُ إِبْرَاهِيمَ، قَالَ: حَدَّثَنَا ابْنُ عُلَيَّةَ، عَنْ ابْنِ أَبِي عَرُوبَةَ، عَنْ قَتَادَةَ، عَنْ نَصْرِ بْنِ عَاصِمٍ، عَنْ مَالِكِ بْنِ الْحُوَيْرِثِ قَالَ: «رَأَيْتُ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ حِينَ دَخَلَ فِي الصَّلَاةِ رَفَعَ يَدَيْهِ، وَحِينَ رَكَعَ وَحِينَ رَفَعَ رَأْسَهُ مِنَ الرُّكُوعِ حَتَّى حَاذَتَا فُرُوعَ أُذُنَيْهِ»,মালিক ইবন হুয়ায়রিছ (রাঃ) থেকে বর্ণিত:,"তিনি বলেনঃ আমি রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-কে দেখেছি যে, যখন তিনি সালাত আরম্ভ করতেন তখন তাঁর হাতদ্বয় উঠাতেন। আর যখন রুকূ করতেন, এবং রুকূ থেকে তাঁর মাথা তুলতেন তখন হাতদ্বয় উভয় কানের নিম্নভাগ (লতি) বরাবর হয়ে যেতো।"
সুনানে আন-নাসায়ী,৮৮২,দুর্বল হাদিস,أَخْبَرَنَا مُحَمَّدُ بْنُ رَافِعٍ قَالَ: حَدَّثَنَا مُحَمَّدُ بْنُ بِشْرٍ قَالَ: حَدَّثَنَا فِطْرُ بْنُ خَلِيفَةَ، عَنْ عَبْدِ الْجَبَّارِ بْنُ وَائِلٍ، عَنْ أَبِيهِ أَنَّهُ، «رَأَى النَّبِيَّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ إِذَا افْتَتَحَ الصَّلَاةَ رَفَعَ يَدَيْهِ حَتَّى تَكَادَ إِبْهَامَاهُ تُحَاذِي شَحْمَةَ أُذُنَيْهِ»,ওয়াইল (রাঃ) থেকে বর্ণিত:,"তিনি রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-কে দেখেছেন, যখন তিনি সালাত আরম্ভ করতেন তখন তিনি তাঁর উভয় হাত উঠাতেন। তখন তাঁর বৃদ্ধাঙ্গুলীদ্বয় তাঁর দু'কানের নিম্নভাগ ছোঁয় ছোঁয় অবস্থা হতো।"
সুনানে আন-নাসায়ী,৮৮৩,সহিহ হাদিস,"أَخْبَرَنَا عَمْرُو بْنُ عَلِيٍّ، قَالَ: حَدَّثَنَا يَحْيَى قَالَ: حَدَّثَنَا ابْنُ أَبِي ذِئْبٍ قَالَ: حَدَّثَنَا سَعِيدُ بْنُ سَمْعَانَ قَالَ: جَاءَ أَبُو هُرَيْرَةَ إِلَى مَسْجِدِ بَنِي زُرَيْقٍ فَقَالَ: "" ثَلَاثٌ كَانَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ يَعْمَلُ بِهِنَّ تَرَكَهُنَّ النَّاسُ: كَانَ يَرْفَعُ يَدَيْهِ فِي الصَّلَاةِ مَدًّا، وَيَسْكُتُ هُنَيْهَةً، وَيُكَبِّرُ إِذَا سَجَدَ وَإِذَا رَفَعَ """,সাঈদ ইবন সামআন (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আবু হুরায়রা (রাঃ) বনী যুরায়কের মসজিদে আগমন করে বললেন, তিনটি কাজ এমন যা রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) করেছেন। কিন্তু লোকেরা তা ছেড়ে দিয়েছে। তিনি সালাতে হাত উঠাতেন লম্বা করে, আর তিনি কিছুক্ষণ চুপ থাকতেন আর তিনি যখন সিজদা করতেন এবং সিজদা থেকে মাথা উঠাতেন তখন তাকবীর বলতেন।"
সুনানে আন-নাসায়ী,৮৮৪,সহিহ হাদিস,أَخْبَرَنَا مُحَمَّدُ بْنُ الْمُثَنَّى قَالَ: حَدَّثَنَا يَحْيَى قَالَ: حَدَّثَنَا عُبَيْدُ اللَّهِ بْنُ عُمَرَ قَالَ: حَدَّثَنِي سَعِيدُ بْنُ أَبِي سَعِيدُ، عَنْ أَبِيهِ، عَنْ أَبِي هُرَيْرَةَ، أَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ دَخَلَ الْمَسْجِدَ، فَدَخَلَ رَجُلٌ فَصَلَّى، ثُمَّ جَاءَ فَسَلَّمَ عَلَى رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، فَرَدَّ عَلَيْهِ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ وَقَالَ: «ارْجِعْ فَصَلِّ؛ فَإِنَّكَ لَمْ تُصَلِّ». فَرَجَعَ فَصَلَّى كَمَا صَلَّى، ثُمَّ جَاءَ إِلَى النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، فَسَلَّمَ عَلَيْهِ، فَقَالَ لَهُ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «وَعَلَيْكَ السَّلَامُ، ارْجِعْ فَصَلِّ؛ فَإِنَّكَ لَمْ تُصَلِّ». فَعَلَ ذَلِكَ ثَلَاثَ مَرَّاتٍ، فَقَالَ الرَّجُلُ: وَالَّذِي بَعَثَكَ بِالْحَقِّ مَا أُحْسِنُ غَيْرَ هَذَا فَعَلِّمْنِي قَالَ: «إِذَا قُمْتَ إِلَى الصَّلَاةِ فَكَبِّرْ، ثُمَّ اقْرَأْ مَا تَيَسَّرَ مَعَكَ مِنَ الْقُرْآنِ، ثُمَّ ارْكَعْ حَتَّى تَطْمَئِنَّ رَاكِعًا، ثُمَّ ارْفَعْ حَتَّى تَعْتَدِلَ قَائِمًا، ثُمَّ اسْجُدْ حَتَّى تَطْمَئِنَّ سَاجِدًا، ثُمَّ ارْفَعْ حَتَّى تَطْمَئِنَّ جَالِسًا، ثُمَّ افْعَلْ ذَلِكَ فِي صَلَاتِكَ كُلِّهَا»,আবু হুরায়রা (রাঃ) থেকে বর্ণিত:,"রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) মসজিদে প্রবেশ করলে পরে এক ব্যক্তি মসজিদে প্রবেশ করল এবং সালাত আদায় করলো। তারপর এসে রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)- কে সালাম করল। রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) তার সালামের উত্তর দিয়ে বললেন, ফিরে যাও, আবার সালাত আদায় কর (কেননা, তুমি সালাত আদায় করনি) সে ব্যক্তি প্রত্যাবর্তন করে পূর্বে যেরূপ সালাত আদায় করেছিল সেরূপ সালাত আদায় করল। তারপর এসে নবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-কে সালাম করল, রাসূলুল্লাহ (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) তাকে বললেন, ওয়া আলাইকাস সালাম। ফিরে যাও, সালাত আদায় কর। কেননা, তুমি সালাত আদায় করনি। তিনি এরূপ তিনবার করলেন। তারপর সে ব্যক্তি বলল, ঐ সত্তার শপথ! যিনি আপনাকে সত্য সহকারে পাঠিয়েছেন। আমি এর চেয়ে অধিক ভাল সালাত আদায় করতে জানি না। অতএব, আমাকে শিখিয়ে দিন। তিনি বললেন- যখন সালাতে দাঁড়াবে, তখন তাকবীর বলবে, তারপর কুরআন থেকে যা তোমার পক্ষে সহজ হয় তা পড়বে। তারপর রুকূ করবে ধীর-স্থিরভাবে। তারপর মাথা উঠাবে এবং সোজা হয়ে দাঁড়িয়ে যাবে। এরপর সিজদা করবে ধীর-স্থিরভাবে। তারপর মাথে উঠিয়ে ধীর-স্থিরভাবে বসে পড়বে। অতঃপর এভাবে তোমার সালাত পূর্ণ করবে।"
সুনানে আন-নাসায়ী,৮৮৫,সহিহ হাদিস,أَخْبَرَنِي مُحَمَّدُ بْنُ وَهْبٍ قَالَ: حَدَّثَنَا مُحَمَّدُ بْنُ سَلَمَةَ، عَنْ أَبِي عَبْدِ الرَّحِيمِ قَالَ: حَدَّثَنِي زَيْدٌ هُوَ ابْنُ أَبِي أُنَيْسَةَ، عَنْ عَمْرِو بْنُ مُرَّةَ، عَنْ عَوْنِ بْنُ عَبْدِ اللَّهِ، عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ قَالَ: قَامَ رَجُلٌ خَلْفَ نَبِيِّ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ فَقَالَ: اللَّهِ أَكْبَرُ كَبِيرًا، وَالْحَمْدُ لِلَّهِ كَثِيرًا، وَسُبْحَانَ اللَّهِ بُكْرَةً وَأَصِيلًا. فَقَالَ نَبِيِّ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «مَنْ صَاحِبُ الْكَلِمَةِ؟» فَقَالَ رَجُلٌ: أَنَا يَا نَبِيُّ اللَّهِ. فَقَالَ: «لَقَدْ ابْتَدَرَهَا اثْنَا عَشَرَ مَلَكًا»,আব্দুল্লাহ ইবন উমর (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, এক ব্যক্তি নবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম)-এর পেছনে বলল: (আরবী) তখন নবী (সাল্লাল্লাহু ‘আলাইহি ওয়া সাল্লাম) বললেন, কে এ কলেমা বলেছে? ঐ ব্যক্তি বলল- আমি, ইয়া নবী আল্লাহ! তখন তিনি বললেন- বারজন ফিরিশতা এ কলেমা তাড়াতাড়ি করে তুলে নিলেন।"
