বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
শামায়েলে তিরমিযি,১,সহিহ হাদিস,قَالَ الْحَافِظُ أَبُو عِيسَى مُحَمَّدُ بْنُ عِيسَى بْنِ سَوْرَةٍ التِّرْمِذِيُّ، حَدَّثَنَا أَبُو رَجَاءٍ قُتَيْبَةُ بْنُ سَعِيدٍ، عَنْ مَالِكِ بْنِ أَنَسٍ، عَنْ رَبِيعَةَ بْنِ أَبِي عَبْدِ الرَّحْمَنِ، عَنْ أَنَسِ بْنِ مَالِكٍ، أَنَّهُ سَمِعَهُ يَقُولُ: «كَانَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ لَيْسَ بِالطَّوِيلِ الْبَائِنِ، وَلَا بِالْقَصِيرِ، وَلَا بِالْأَبْيَضِ الْأَمْهَقِ، وَلَا بِالْآدَمِ، وَلَا بِالْجَعْدِ الْقَطَطِ، وَلَا بِالسَّبْطِ، بَعَثَهُ اللَّهُ تَعَالَى عَلَى رَأْسِ أَرْبَعِينَ سَنَةً، فَأَقَامَ بِمَكَّةَ عَشْرَ سِنِينَ، وَبِالْمَدِينَةِ عَشْرَ سِنِينَ، وَتَوَفَّاهُ اللَّهُ تَعَالَى عَلَى رَأْسِ سِتِّينَ سَنَةً، وَلَيْسَ فِي رَأْسِهِ وَلِحْيَتِهِ عِشْرُونَ شَعْرَةً بَيْضَاءَ»,আনাস ইবনে মালিক (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সঃ) খুব দীর্ঘ ছিলেন না আবার খাটোও ছিলেন না। তিনি ধবধবে সাদা কিংবা বাদামী বর্ণেরও ছিলেন না। তাঁর চুল একেবারে কোঁকড়ানো ছিল না, আবার একদম সোজাও ছিল না। ৪০ বছর বয়সে আল্লাহ তা'আলা তাকে নবুওয়াত দান করেন। এরপর মক্কায় ১০ বছর এবং মদিনায় ১০ বছর কাটান। আল্লাহ তা'আলা ৬০ বছর বয়সে তাকে ওফাত দান করেন। ওফাতকালে তাঁর মাথা ও দাড়ির ২০টি চুলও সাদা ছিল না। [১] ব্যাখ্যা : রাসূলুল্লাহ (সঃ) এর মাঝে যেমন উত্তম গুণাবলির সর্বাধিক সমাবেশ ঘটেছিল, তেমনি তার দৈহিক সৌন্দর্যও ছিল অতুলনীয়। এ হাদীস থেকে বুঝা যায় যে, রাসূলুল্লাহ (সঃ) বেমানান দীর্ঘকায় ছিলেন না। আবার অতি খাটোও ছিলেন না। বরং মাঝারি গড়নের চেয়ে একটু দীর্ঘ ছিলেন। উল্লেখ্য যে, নবী (সঃ)এর ইন্তেকাল হয়েছে ৬৩ বছর বয়সে। তিনি মক্কায় ১৩ বছর এবং মদিনায় ১০ বছর অতিবাহিত করেছেন। এ সংক্রান্ত হাদীসগুলো এ গ্রন্থের শেষের দিকে উল্লেখ করা হয়েছে। বর্ণিত হাদীসটিতে দশকের পরের সংখ্যা ৩ বাদ দিয়ে মক্কায় অবস্থানকাল ১০ বছর এবং নবী (সঃ) এর মোট বয়স ৬০ উল্লেখ করা হয়েছে।"
শামায়েলে তিরমিযি,২,সহিহ হাদিস,حَدَّثَنَا حُمَيْدُ بْنُ مَسْعَدَةَ الْبَصْرِيُّ قَالَ: حَدَّثَنَا عَبْدُ الْوَهَّابِ الثَّقَفِيُّ، عَنْ حُمَيْدٍ، عَنْ أَنَسِ بْنِ مَالِكٍ قَالَ: «كَانَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ رَبْعَةً، لَيْسَ بِالطَّوِيلِ وَلَا بِالْقَصِيرِ، حَسَنَ الْجِسْمِ، وَكَانَ شَعْرُهُ لَيْسَ بِجَعْدٍ وَلَا سَبْطٍ أَسْمَرَ اللَّوْنِ، إِذَا مَشَى يَتَكَفَّأُ»,আনাস ইবনে মালিক (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সঃ) মধ্যমাকৃতির ছিলেন। বেশি লম্বা কিংবা বেশি খাটোও ছিলেন না। তাঁর দেহ ছিল খুব আকর্ষণীয়। আর তাঁর চুল বেশি কোকড়ানো কিংবা একেবারে সোজাও ছিল না। তিনি ছিলেন গৌরবর্ণের। পথ চলতে তিনি সামনের দিকে কিছুটা ঝুঁকে চলতেন। [২]"
শামায়েলে তিরমিযি,৩,সহিহ হাদিস,حَدَّثَنَا مُحَمَّدُ بْنُ بَشَّارٍ قَالَ: حَدَّثَنَا مُحَمَّدُ بْنُ جَعْفَرٍ قَالَ: حَدَّثَنَا شُعْبَةُ، عَنْ أَبِي إِسْحَاقَ قَالَ: سَمِعْتُ الْبَرَاءَ بْنَ عَازِبٍ يَقُولُ: «كَانَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ رَجُلًا مَرْبُوعًا بَعِيدَ مَا بَيْنَ الْمَنْكِبَيْنِ، عَظِيمَ الْجُمَّةِ إِلَى شَحْمَةِ أُذُنَيْهِ الْيُسْرَى، عَلَيْهِ حُلَّةٌ حَمْرَاءُ، مَا رَأَيْتُ شَيْئًا قَطُّ أَحْسَنَ مِنْهُ»,বারা ইবনে আযিব (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সঃ) মধ্যমাকৃতির ছিলেন। তার দুই কাঁধের মধ্যবর্তী অংশ ছিল তুলনামূলক প্রশস্ত। তার ঘন চুলগুলো কানের লতি পর্যন্ত লম্বা ছিল। তার দেহে লাল লুঙ্গি ও লাল চাদর শোভা পেত। আমি তার তুলনায় সুদর্শন কাউকে কখনো দেখিনি।” [৩] ব্যাখ্যা : এ হাদীসে লাল চাদর ও লুঙ্গি পরিধান করার কথা উল্লেখ করা হয়েছে। অথচ রাসূলুল্লাহ (সঃ) পুরুষের জন্যে লাল রংয়ের কাপড় পরিধান করতে নিষেধ করেছেন। এ বিরোধ সমাধানে কেউ কেউ বলেন, উজ্জ্বল লাল পরিধান করতে নিষেধ করা হয়েছে। এখানে যে কাপড়দ্বয়ের কথা বলা হয়েছে, সেটা লাল ডোরাকাটা ছিল, উজ্জ্বল লাল বর্ণের ছিল না।"
শামায়েলে তিরমিযি,৪,সহিহ হাদিস,حَدَّثَنَا مَحْمُودُ بْنُ غَيْلَانَ قَالَ: حَدَّثَنَا وَكِيعٌ قَالَ: حَدَّثَنَا سُفْيَانُ، عَنْ أَبِي إِسْحَاقَ، عَنِ الْبَرَاءِ بْنِ عَازِبٍ قَالَ [ص: 31] : «مَا رَأَيْتُ مِنْ ذِي لِمَّةٍ فِي حُلَّةٍ حَمْرَاءَ أَحْسَنَ مِنْ رَسُولِ اللَّهِ، لَهُ شَعْرٌ يَضْرِبُ مَنْكِبَيْهِ، بَعِيدُ مَا بَيْنَ الْمَنْكِبَيْنِ، لَمْ يَكُنْ بِالْقَصِيرِ وَلَا بِالطَّوِيلِ»,বারা ইবনে আযিব (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আমি কাঁধ পর্যন্ত লম্বা চুলবিশিষ্ট লাল চাদর ও লাল লুঙ্গি পরিহিত অবস্থায় রাসুলুল্লাহ (সাঃ) এর চেয়ে সুদর্শন কাউকে দেখিনি। তাঁর কেশগুচ্ছ ছিল কাঁধ বরাবর। তাঁর দু’কাঁধের মধ্যবর্তী স্থান অন্যদের তুলনায় কিছুটা প্রশস্ত ছিল তিনি অধিক খাটো বা অধিক দীর্ঘাকৃতির ছিলেন না।"" [৪] ব্যাখ্যাঃ ৩ নং হাদীসে বর্ণিত হয়েছে যে, রাসূলুল্লাহ (সঃ) এর মাথার চুল কানের লতি পর্যন্ত দীর্ঘ ছিল। আর এ হাদীসে বলা হয়েছে, কাঁধ পর্যন্ত দীর্ঘ ছিল। উভয় বক্তব্যই ঠিক। কেননা, চুল সব সময় এক অবস্থায় থাকে না। কখনো কম হয়, কখনো বেশি হয়। আবার ইচ্ছাকৃতভাবেও বড় ছোট রাখা হয়। চুলের ভিন্ন ভিন্ন অবস্থার ব্যাখ্যা এভাবে করা যায় যে, তিনি সর্বোচ্চ কাধ পর্যন্ত লম্বা করেছেন, যাকে জিম্মা’ বলা হয়। আর সর্বাধিক ছোট করার পরিমান ছিল কানের লতি, যাকে 'ওয়াফরা' বলে। আর এর মাঝামাঝি অবস্থানকে লিম্মা’ বলা হয়।"
শামায়েলে তিরমিযি,৫,সহিহ হাদিস,حَدَّثَنَا مُحَمَّدُ بْنُ إِسْمَاعِيلَ قَالَ: حَدَّثَنَا أَبُو نُعَيْمٍ قَالَ: حَدَّثَنَا الْمَسْعُودِيُّ، عَنْ عُثْمَانَ بْنِ مُسْلِمِ بْنِ هُرْمُزَ، عَنْ نَافِعِ بْنِ جُبَيْرِ بْنِ مُطْعِمٍ، عَنْ عَلِيِّ بْنِ أَبِي طَالِبٍ قَالَ: «لَمْ يَكُنِ النَّبِيُّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ بِالطَّوِيلِ وَلَا بِالْقَصِيرِ، شَثْنُ الْكَفَّيْنِ وَالْقَدَمَيْنِ، ضَخْمُ الرَّأْسِ، ضَخْمُ الْكَرَادِيسِ، طَوِيلُ الْمَسْرُبَةِ، إِذَا مَشَى تَكَفَّأَ تَكَفُّؤًا كَأَنَّمَا يَنْحَطُّ مِنْ صَبَبٍ، لَمْ أَرَ قَبْلَهُ وَلَا بَعْدَهُ مِثْلَهُ [ص: 32] ، صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ» .,আলী ইবনে আবু তালিব (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, নবী (সঃ) বেশি দীর্ঘ কিংবা বেশি খাটো ছিলেন না। তার হস্তদ্বয় ও পদদ্বয়ের তালু এবং আঙ্গুলসমূহ ছিল মাংসল। তাঁর মাথা ছিল কিছুটা বড় এবং হাত-পায়ের জোড়াগুলো ছিল মোটা। বুক হতে নাভি পর্যন্ত পশমের একটি সরু রেখা প্রলম্বিত ছিল। যখন পথ চলতেন মনে হতো যেন কোন উঁচু স্থান হতে নিচে অবতরণ করছেন। বর্ণনাকারী বলেন, তার পূর্বে কিংবা পরে আমি তার মতো (অনুপম আকর্ষণীয়) আর কাউকে দেখিনি।"
শামায়েলে তিরমিযি,৬,সহিহ হাদিস,حَدَّثَنَا أَبُو مُوسَى مُحَمَّدُ بْنُ الْمُثَنَّى، حَدَّثَنَا مُحَمَّدُ بْنُ جَعْفَرٍ، قَالَ حَدَّثَنَا شُعْبَةُ، عَنْ سِمَاكِ بْنِ حَرْبٍ قَالَ: سَمِعْتُ جَابِرَ بْنَ سَمُرَةَ يَقُولُ: «كَانَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ ضَلِيعَ الْفَمِ، أَشْكَلَ الْعَيْنِ، مَنْهُوسَ الْعَقِبِ» [ص: 39] . قَالَ شُعْبَةُ: قُلْتُ لِسِمَاكٍ: مَا ضَلِيعُ الْفَمِ؟ قَالَ: عَظِيمُ الْفَمِ، قُلْتُ: مَا أَشْكَلُ الْعَيْنِ؟ قَالَ: طَوِيلُ شِقِّ الْعَيْنِ، قُلْتُ: مَا مَنْهُوسُ الْعَقِبِ؟ قَالَ: قَلِيلُ لَحْمِ الْعَقِبِ,জাবির ইবনে সামুরা (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সঃ) এর মুখ প্রশস্ত ছিল। চোখের শুভ্রতার মাঝে কিছুটা লালিমা ছিল। পায়ের গোড়ালি স্বল্প মাংসল ছিল। শু'বা (রহঃ) বলেন, আমি সিমাক (রহঃ)-কে বললাম, (যলীউল ফাম) কী? তিনি বললেন, বড় মুখগহ্বর বিশিষ্ট। আমি আবার বললাম, (আশকালুল ‘আইন) কী? তিনি বললেন, ডাগর চক্ষুবিশিষ্ট। আমি বললাম, এ (মানুহূসুল ‘আক্কিব) কী? তিনি বললেন, সরু গোড়ালি বিশিষ্ট । [৬]"
শামায়েলে তিরমিযি,৭,সহিহ হাদিস,حَدَّثَنَا هَنَّادُ بْنُ السَّرِيِّ قَالَ: حَدَّثَنَا عَبْثَرُ بْنُ الْقَاسِمِ، عَنْ أَشْعَثَ، يَعْنِي ابْنَ سَوَّارٍ، عَنْ أَبِي إِسْحَاقَ، عَنْ جَابِرِ بْنِ سَمُرَةَ قَالَ: «رَأَيْتُ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ فِي لَيْلَةٍ إِضْحِيَانٍ، وَعَلَيْهِ حُلَّةٌ حَمْرَاءُ، فَجَعَلْتُ أَنْظُرُ إِلَيْهِ وَإِلَى الْقَمَرِ، فَلَهُوَ عِنْدِي أَحْسَنُ مِنَ الْقَمَرِ»,জাবির ইবনে সামুরা (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, আমি একবার পূর্ণিমা রাত্রির স্নিগ্ধ আলোতে রাসূলুল্লাহ (সঃ) -কে লাল চাদর ও লুঙ্গি পরিহিত অবস্থায় দেখলাম। তখন আমি একবার তার দিকে ও একবার চাঁদের দিকে তাকাতে থাকলাম। মনে হলো তিনি আমার কাছে পূর্ণিমার চাঁদের চেয়ে অধিকতর চমৎকার। [৭]"
শামায়েলে তিরমিযি,৮,সহিহ হাদিস,حَدَّثَنَا سُفْيَانُ بْنُ وَكِيعٍ، قَالَ حَدَّثَنَا حُمَيْدُ بْنُ عَبْدِ الرَّحْمَنِ الرُّؤَاسِيُّ، عَنْ زُهَيْرٍ، عَنْ أَبِي إِسْحَاقَ قَالَ: سَأَلَ رَجُلٌ الْبَرَاءَ بْنَ عَازِبٍ: أَكَانَ وَجْهُ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ مِثْلَ السَّيْفِ؟ قَالَ: «لَا، بَلْ مِثْلَ الْقَمَرِ»,আবু ইসহাক (রহঃ) থেকে বর্ণিত:,"তিনি বলেন, একবার বারা ইবনে আযিব (রাঃ)-কে এক ব্যক্তি জিজ্ঞেস করল, রাসূলুল্লাহ (সঃ) এর চেহারা কি তরবারির ন্যায় ছিল? তিনি বললেন, না; বরং তা ছিল চাঁদের মতো। [৮] ব্যাখ্যাঃ তরবারির সাথে সাদৃশ্য করা এ জন্য ক্রটিযুক্ত ছিল যে, এতে চেহারা অধিক লম্বা হওয়ার ধারণা সৃষ্টি হতে পারে। তাছাড়া তরবারির চমকে শুভ্রতা বেশি থাকে, কিন্তু উজ্জ্বলতা থাকে না। তাই বারা ইবনে আযিব (রাঃ) তরবারির কথা অস্বীকার করে চাঁদের সাথে তুলনা করেছেন।"
শামায়েলে তিরমিযি,৯,সহিহ হাদিস,حَدَّثَنَا أَبُو دَاوُدَ الْمَصَاحِفِيُّ سُلَيْمَانُ بْنُ سَلْمٍ قَالَ: حَدَّثَنَا النَّضْرُ بْنُ شُمَيْلٍ، عَنْ صَالِحِ بْنِ أَبِي الْأَخْضَرِ، عَنِ ابْنِ شِهَابٍ، عَنْ أَبِي سَلَمَةَ، عَنْ أَبِي هُرَيْرَةَ قَالَ: «كَانَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ أَبْيَضَ كَأَنَّمَا صِيغَ مِنْ فِضَّةٍ، رَجِلَ الشَّعْرِ»,আবু হুরায়রা (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সঃ) ও শুভ্রতায় ছিলেন রৌপ্যের ন্যায় এবং তার চুলগুলো ছিল কিছুটা কোকড়ানো। [৯] ব্যাখ্যা : আনাস (রাঃ) হতে বর্ণিত এ অধ্যায়ের সর্বপ্রথম হাদীসে উল্লেখিত হয়েছে যে, রাসূলুল্লাহ (সঃ) এর গায়ের রং নিরেট সাদা ছিল না। তাই এ হাদীসে তাকে রূপার সাথে তুলনা করা হয়েছে। তিনি লাল মিশ্রিত সাদা ছিলেন এবং উজ্জ্বল সুন্দর ছিলেন।"
শামায়েলে তিরমিযি,১০,সহিহ হাদিস,حَدَّثَنَا قُتَيْبَةُ بْنُ سَعِيدٍ قَالَ: أَخْبَرَنِي اللَّيْثُ بْنُ سَعْدٍ، عَنْ أَبِي الزُّبَيْرِ، عَنْ جَابِرِ بْنِ عَبْدِ اللَّهِ، أَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ قَالَ: «عُرِضَ عَلَيَّ الْأَنْبِيَاءُ، فَإِذَا مُوسَى عَلَيْهِ السَّلَامُ ضَرْبٌ مِنَ الرِّجَالِ، كَأَنَّهُ مِنْ رِجَالِ شَنُوءَةَ، وَرَأَيْتُ عِيسَى ابْنَ مَرْيَمَ عَلَيْهِ السَّلَامُ، فَإِذَا أَقْرَبُ مَنْ رَأَيْتُ بِهِ شَبَهًا عُرْوَةُ بْنُ مَسْعُودٍ، وَرَأَيْتُ إِبْرَاهِيمَ عَلَيْهِ السَّلَامُ، فَإِذَا أَقْرَبُ مَنْ رَأَيْتُ بِهِ شَبَهًا صَاحِبُكُمْ، يَعْنِي نَفْسَهُ، وَرَأَيْتُ جِبْرِيلَ عَلَيْهِ السَّلَامُ فَإِذَا أَقْرَبُ مَنْ رَأَيْتُ بِهِ شَبَهًا دِحْيَةُ»,জাবির ইবনে আবদুল্লাহ (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ (সঃ) বলেছেন, আমার কাছে নবীগণকে পেশ করা হয়। মূসা (আঃ) এর মধ্যে বিভিন্ন লোকের সাদৃশ্য বিদ্ধমান ছিল। তিনি যেন শানুয়াহ গোত্রের লোক। আমি ঈসা ইবনে মারইয়াম (আঃ)-কে উরওয়া ইবনে মাসউদের সাদৃশ্যপূর্ণ দেখতে পাই। তারপর আমি ইবরাহীম (আঃ)-কে দেখতে পাই এবং তাকে পাই তোমাদের সঙ্গীর সাথে সর্বাধিক সাদৃশ্যপূর্ণ। তোমাদের সঙ্গী বলে তিনি নিজেকে বুঝিয়েছেন। আর আমি জিবরাঈল (আঃ)-কে দিহইয়া (কালবী) এর সাথে সদৃশ্যপূর্ণ দেখতে পাই। [১০]"
