বই,হাদিস নাম্বার,হাদিসের মান,আরবি,বর্ণনাকারী,বাংলা
সহিহ তারগিব ওয়াত তাহরিব,১,সহিহ হাদিস,(صحيح) عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ رَضِيَ اللَّهُ عَنْهُماَ قاَلَ سَمِعْتُ رَسُوْلَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَقُولُ: انْطَلَقَ ثَلَاثَةُ رَهْطٍ مِمَّنْ كَانَ قَبْلَكُمْ حَتَّى آوَاهُمُ الْمَبِيتُ إِلَى غَارٍ فَدَخَلُوهُ فَانْحَدَرَتْ صَخْرَةٌ مِنَ الْجَبَلِ فَسَدَّتْ عَلَيْهِمُ الْغَارَ فَقَالُوْا إِنَّهُ لاَ يُنْجِيكُمْ مِنْ هَذِهِ الصَّخْرَةِ إِلَّا أَنْ تَدْعُوا اللَّهَ بِصَالِحِ أَعْمَالِكُمْ. فَقَالَ رَجُلٌ مِنْهُمُ: اللَّهُمَّ كَانَ لِي أَبَوَانِ شَيْخَانِ كَبِيرَانِ وَكُنْتُ لَا أَغْبِقُ قَبْلَهُمَا أَهْلًا وَلَا مَالًا فَنَأَى بِيْ فِيْ طَلَبِ شَجرٍ يَوْمًا فَلَمْ أُرِحْ عَلَيْهِمَا حَتَّى نَامَا فَحَلَبْتُ لَهُمَا غَبُوقَهُمَا فَوَجَدْتُهُمَا نَائِمَيْنِ وَكَرِهْتُ أَنْ أَغْبِقَ قَبْلَهُمَا أَهْلًا أَوْ مَالًا فَلَبِثْتُ وَالْقَدَحُ عَلَى يَدَيَّ أَنْتَظِرُ اسْتِيقَاظَهُمَا حَتَّى بَرَقَ الْفَجْرُ فَاسْتَيْقَظَا فَشَرِبَا غَبُوقَهُمَا اللَّهُمَّ إِنْ كُنْتُ فَعَلْتُ ذَلِكَ ابْتِغَاءَ وَجْهِكَ فَفَرِّجْ عَنَّا مَا نَحْنُ فِيهِ مِنْ هَذِهِ الصَّخْرَةِ فَانْفَرَجَتْ شَيْئًا لاَ يَسْتَطِيعُونَ الْخُرُوجَ. قَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ : قَالَ الْآخَرُ: اللَّهُمَّ كَانَتْ لِيْ بِنْتُ عَمٍّ كَانَتْ أَحَبَّ النَّاسِ إِلَيَّ فَأَرَدْتُهَا عَنْ نَفْسِهَا فَامْتَنَعَتْ مِنِّي حَتَّى أَلَمَّتْ بِهَا سَنَةٌ مِنَ السِّنِينَ فَجَاءَتْنِي فَأَعْطَيْتُهَا عِشْرِينَ وَمِائَةَ دِينَارٍ عَلَى أَنْ تُخَلِّيَ بَيْنِي وَبَيْنَ نَفْسِهَا فَفَعَلَتْ حَتَّى إِذَا قَدَرْتُ عَلَيْهَا قَالَتْ لاَ أُحِلُّ لَكَ أَنْ تَفُضَّ الْخَاتَمَ إِلاَّ بِحَقِّهِ فَتَحَرَّجْتُ مِنَ الْوُقُوعِ عَلَيْهَا فَانْصَرَفْتُ عَنْهَا وَهِيَ أَحَبُّ النَّاسِ إِلَيَّ وَتَرَكْتُ الذَّهَبَ الَّذِي أَعْطَيْتُهَا اللَّهُمَّ إِنْ كُنْتُ فَعَلْتُ ابْتِغَاءَ وَجْهِكَ فَافْرُجْ عَنَّا مَا نَحْنُ فِيهِ فَانْفَرَجَتِ الصَّخْرَةُ غَيْرَ أَنَّهُمْ لاَ يَسْتَطِيعُونَ الْخُرُوجَ مِنْهَا. قَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ : قَالَ الثَّالِثُ: اللَّهُمَّ إِنِّي اسْتَأْجَرْتُ أُجَرَاءَ فَأَعْطَيْتُهُمْ أَجْرَهُمْ غَيْرَ رَجُلٍ وَاحِدٍ تَرَكَ الَّذِي لَهُ وَذَهَبَ فَثَمَّرْتُ أَجْرَهُ حَتَّى كَثُرَتْ مِنْهُ الْأَمْوَالُ فَجَاءَنِي بَعْدَ حِينٍ فَقَالَ يَا عَبْدَ اللَّهِ أَدِّ إِلَيَّ أَجْرِي فَقُلْتُ لَهُ كُلُّ مَا تَرَى مِنْ أَجْرِكَ مِنَ الْإِبِلِ وَالْبَقَرِ وَالْغَنَمِ وَالرَّقِيقِ فَقَالَ يَا عَبْدَ اللَّهِ لَا تَسْتَهْزِئُ بِي فَقُلْتُ إِنِّي لَا أَسْتَهْزِئُ بِكَ فَأَخَذَهُ كُلَّهُ فَاسْتَاقَهُ فَلَمْ يَتْرُكْ مِنْهُ شَيْئًا اللَّهُمَّ فَإِنْ كُنْتُ فَعَلْتُ ذَلِكَ ابْتِغَاءَ وَجْهِكَ فَافْرُجْ عَنَّا مَا نَحْنُ فِيهِ فَانْفَرَجَتِ الصَّخْرَةُ فَخَرَجُوا يَمْشُونَ. وفي رواية: أنَّ رَسُوْلَ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ: بَيْنَمَا ثَلَاثَةُ نَفَرٍ مِمَّنْ كَانَ قَبْلَكُمْ يَمْشُونَ إِذْ أَصَابَهُمْ مَطَرٌ فَأَوَوْا إِلَى غَارٍ فَانْطَبَقَ عَلَيْهِمْ فَقَالَ بَعْضُهُمْ لِبَعْضٍ إِنَّهُ وَاللَّهِ يَا هَؤُلَاءِ لَا يُنْجِيكُمْ إِلَّا الصِّدْقُ فَليَدْعُ كُلُّ رَجُلٍ مِنْكُمْ بِمَا يَعْلَمُ أَنَّهُ قَدْ صَدَقَ فِيهِ فَقَالَ وَاحِدٌ مِنْهُمْ اللَّهُمَّ إِنْ كُنْتَ تَعْلَمُ أَنَّهُ كَانَ لِي أَجِيرٌ عَمِلَ لِي عَلَى فَرَقٍ مِنْ أَرُزٍّ فَذَهَبَ وَتَرَكَهُ وَأَنِّي عَمَدْتُ إِلَى ذَلِكَ الْفَرَقِ فَزَرَعْتُهُ فَصَارَ مِنْ أَمْرِهِ أَنِّي اشْتَرَيْتُ مِنْهُ بَقَرًا وَأَنَّهُ أَتَانِي يَطْلُبُ أَجْرَهُ فَقُلْتُ لَهُ اعْمِدْ إِلَى تِلْكَ الْبَقَرِ فَسُقْهَا فَقَالَ لِي إِنَّمَا لِي عِنْدَكَ فَرَقٌ مِنْ أَرُزٍّ فَقُلْتُ لَهُ اعْمِدْ إِلَى تِلْكَ الْبَقَرِ فَإِنَّهَا مِنْ ذَلِكَ الْفَرَقِ فَسَاقَهَا فَإِنْ كُنْتَ تَعْلَمُ أَنِّي فَعَلْتُ ذَلِكَ مِنْ خَشْيَتِكَ فَفَرِّجْ عَنَّا فَانْسَاحَتْ عَنْهُمْ الصَّخْرَةُ. فذكر الحديث قريبا من الأول,ইবনে ওমর (রাঃ) থেকে বর্ণিত:,"আমি শুনেছি রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম) বলেনঃ “তোমাদের পূর্ববর্তী জাতি বনী ইসরাঈলের মধ্যে থেকে তিন ব্যক্তি একদা কোথাও যাওয়ার উদ্দেশ্যে গমন করল। রাত্রি যাপনের উদ্দেশ্যে তারা একটি গুহায় প্রবেশ করল। হঠাৎ পাহাড়ের উপর থেকে প্রকান্ড একটি পাথর আছড়ে পড়ে গুহার দারদেশ বন্ধ করে দিল। এসময় তারা একে অপরকে বললঃ এই প্রকান্ড পাথর থেকে তোমাদেরকে কেউ মুক্তি দিতে পারবে না। তাই প্রত্যেকে স্বীয় সৎআমলের অসীলায় আল্লাহর কাছে প্রার্থনা কর। এক ব্যক্তি দু’আ করতে লাগলঃ আয় আল্লাহ! আমার পিতামাতা উভয়ই অতিবৃদ্ধ ছিলেন। আমি কখনই তাদের আগে কাউকে দুধ পান করাতাম না, না পরিবারের কোন ব্যক্তিকে না কোন দাস-দাসীকে। একদা গবাদি পশুর জন্য ঘাষ-পাতার অনুসন্ধানে দূরে চলে গিয়েছিলাম। রাতে যখন ফিরে আসি তখন তারা ঘুমিয়ে পড়েন। তাদের জন্য দুধ দহন করে দেখলাম তারা ঘুমন্ত। কিন্তু তাদেরকে দুধ পান করানোর আগে পরিবারের অন্য কাউকে দুধ পান করানো আমি অপছন্দ করলাম। তাই তাদের শিয়রে অবস্থান নিলাম। দুধের পেয়ালা আমার হাতেই থাকল। অপেক্ষা করতে থাকলাম কখন তারা জাগ্রত হয়। শেষ পর্যন্ত ফজরের আলো উদ্ভাসিত হয়ে গেল। (কোন কোন বর্ণনায় এসেছেঃ সে সময় ছোট ছোট শিশুরা আমার পায়ের কাছে ক্ষুধার তাড়নায় চিৎকার করছিল)। তারা জাগ্রত হল। তারপর দুধ পান করল। হে আল্লাহ! আমি যদি এ কাজ তোমার সন্তষ্টির উদ্দেশ্য করে থাকি, তবে আমাদেরকে এ পাথরের বিপদ থেকে উদ্ধার কর। পাথরটি তখন সামান্য একটু সরে গেল। কিন্তু তারা বের হতে সক্ষম হল না। নবী (সাল্লাল্লাহু 'আলাইহি ওয়াসাল্লাম) বলেনঃ দ্বিতীয় ব্যক্তি বললঃ হে আল্লাহ! আমার এক চাচাত বোন ছিল। আমি তাকে খুব ভালবাসতাম। তাই তাকে একান্ত কাছে পেতে চাইলাম। কিন্তু সে রাজি হল না। একবার সে দুর্ভিক্ষের সম্মুখিন হয়ে আমার কাছে আসল। আমি তাকে একশত বিশটি স্বর্ণ মুদ্রা দিলাম। এই শর্তে যে, সে আমার কাছে নিজেকে সমর্পণ করে দিবে। সে রাজি হল। আমি যখন আমার উদ্দেশ্য পূর্ণ করতে পুরাপুরি প্রস্তুত হলাম, তখন সে বললঃ অধিকার ছাড়া সঙ্গমে লিপ্ত হওয়া আমি তোমার জন্য হালাল মনে করি না। একথায় আমি ভীত হলাম এবং তাকে ছেড়ে দিলাম। অথচ সে আমার কাছে সর্বাধিক ভালবাসার পাত্র ছিল। যে স্বর্ণমুদ্রা তাকে দিয়েছিলাম তাও ছেড়ে দিলাম। আয় আল্লাহ! উক্ত কাজ যদি তোমার সম্ভাষ্টি লাভের উদ্দেশ্যে করে থাকি তবে আমাদের এই বিপদ দূর করে দাও। ফলে পাথরটি আরও একটু সরে গেল। কিন্তু তারা সেখান থেকে বের হতে সক্ষম হল না। নবী (সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম) বলেনঃ তৃতীয় ব্যক্তি বললঃ হে আল্লাহ! আমি কতিপয় শ্রমিক নিয়োগ করি। প্রত্যেককে তাদের পারিশ্রমিকও দিয়ে দেই। কিন্তু এক ব্যক্তি তার পারিশ্রমিক না নিয়েই চলে যায়। আমি সে পারিশ্রমিকের অর্থ দিয়ে চাষাবাদ করি। ফলে তা থেকে অনেক সম্পদ বৃদ্ধি হয়। বহু দিন পর সে লোক আমার কাছে ফিরে এসে বলেঃ হে আল্লাহর বান্দা! আমার পারিশ্রমিক দাও। আমি বললামঃ এই উট, গরু, ছাগল ও ক্রীতদাস যা দেখছো তা সবই তোমার পারিশ্রমিক। সে বললঃ হে আল্লাহর বান্দা! আমার সাথে ঠাট্টা কর না। আমি বললামঃ আমি তোমার সাথে ঠাট্টা করছি না। তখন সে সবগুলোই নিয়ে নিল। কোন কিছুই ছেড়ে গেল না। হে আল্লাহ! এ কাজ যদি তোমার সন্তুষ্টির উদ্দেশ্যে করে থাকি, তবে আমাদেরকে এ বিপদ থেকে উদ্ধার করে দাও। তখন পাথরটি সরে গেল এবং তারাও সেখান থেকে বের হতে সক্ষম হল। অন্য বর্ণনায় আছেঃ রাসূলুল্লাহ (সাল্লাল্লাহু 'আলাইহি ওয়াসাল্লাম) বলেনঃ “তোমাদের পূর্ব জাতির তিন ব্যক্তি রাস্তা চলছিল। তারা বৃষ্টির সম্মুখিন হলে আশ্রয়ের জন্য একটি গুহায় প্রবেশ করল। এমন সময় গুহার মুখ বন্ধ হয়ে গেল। তখন তারা একে অপরকে বললঃ আল্লাহর শপথ এ বিপদ থেকে সত্যবাদিতা ছাড়া তোমাদেরকে কোন কিছুই মুক্ত করতে পারবে না। সুতরাং তোমাদর প্রত্যেকের আল্লাহর কাছে এমন আমলের মাধ্যমে দু’আ করা উচিত যাতে সে সততার পরিচয় দিয়েছে। একজন বললঃ হে আল্লাহ! তুমি ভাল ভাবেই জান, আমার একজন শ্রমিক ছিল। ধানের একটি নির্দিষ্ট মাপের বিনিময়ে সে আমার নিকট কাজ করেছিল। কিন্তু সে তার প্রাপ্য না নিয়েই চলে যায়। আমি সেই নির্দিষ্ট পরিমাণ ধান কৃষি কাজে ব্যবহার করি ফলে উৎপাদন এমন হয় যা থেকে আমি কতগুলো গরু খরিদ করি। একদিন সে আমার নিকট এসে তার পারিশ্রমিক চায়। আমি বললামঃ ঐ গরুগুলোর কাছে যাও। এগুলো তোমার সেই প্রাপ্য ধান থেকে হয়েছে। তখন সে গরুগুলো নিয়ে চলে গেল। হে আল্লাহ! উক্ত কাজ যদি আমি আপনার ভয়ে করে থাকি তবে আমাদেরকে উদ্ধার কর। তখন পাথর গুহার মুখ থেকে (কিছুটা) সরে গোল........ |* অতঃপর হাদীসের বাকী অংশ প্রায় প্রথমটির মতই উল্লেখ করেছেন। (হাদীছটি বর্ণনা করেছেন বুখারী ও মুসলিম)"
সহিহ তারগিব ওয়াত তাহরিব,২,সহিহ হাদিস,,ইবনে হিব্বান থেকে বর্ণিত:,ইবনে হিব্বান হাদীছটি আবু হুরায়রার বরাতে সংক্ষেপে বর্ণনা করেন। ‘পিতা-মাতার সাথে সদ্ব্যবহার’ অনুচ্ছেদে তার বর্ণনা আসবে। ইনশাআল্লাহ।
সহিহ তারগিব ওয়াত তাহরিব,৩,সহিহ হাদিস,"(صحيح) عَنْ أَبِي فِرَاسٍ رَجُلٍ مِنْ أَسْلَمَ، قَالَ: نَادَى رَجُلٌ، فَقَالَ: يَا رَسُولَ اللهِ، مَا الْإِيمَانُ؟ قَالَ: "" الْإِخْلَاصُ "". وفي لفظ آخر قَالَ: قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ : سَلُونِي عَمَّا شِئْتُمْ ""، فَنَادَى رَجُلٌ: يَا رَسُولَ اللهِ، مَا الْإِسْلَامُ ؟ قَالَ: "" إِقَامُ الصَّلَاةِ وَإِيتَاءُ الزَّكَاةِ ""، قَالَ: فَمَا الْإِيمَانُ ؟ قَالَ: "" الْإِخْلَاصُ ""، قَالَ: فَمَا الْيَقِينُ ؟ قَالَ: "" التَّصْدِيقُ بالْقيامةِ. رواه البيهقي",আবু ফেরাস (রাঃ) থেকে বর্ণিত:,"তিনি ছিলেন আসলাম গোত্রের লোক। তিনি বলেন, জনৈক ব্যক্তি ডাক দিয়ে বলল, হে আল্লাহর রাসূল! ঈমান কি? তিনি বললেনঃ “ইখলাস বা একনিষ্ঠতা।” অন্য বর্ণনায় তিনি বলেন, রাসূলুল্লাহ (সাল্লাল্লাহু 'আলাইহি ওয়াসাল্লাম) (একদা) বললেনঃ “যা ইচ্ছা তোমরা আমাকে প্রশ্ন কর।” তখন জনৈক ব্যক্তি ডাক দিয়ে বলল, হে আল্লাহর রাসূল! ইসলাম কি? তিনি বললেনঃ “সালাত কায়েম করা ও যাকাত প্ৰদান করা।” সে বলল, ঈমান কি? তিনি বললেনঃ “ইখলাস বা একনিষ্ঠতা।"" সে বলল, ইয়াকীন কি? তিনি বললেনঃ “(ইসলাম ধর্মের যাবতীয় বিষয়কে) সত্য প্রতিপন্ন করা।"" (হাদীছটি বর্ণনা করেছেন বায়হাকী)"
সহিহ তারগিব ওয়াত তাহরিব,৪,সহিহ লিগাইরিহি,"(صحيح لغيره) وَعَنْ أبِيْ سَعِيْدٍ الْخُدِرِيْ عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أنه قال في حجة الوداع نَضَّرَ اللهُ عَبْدًا سَمِعَ مَقَالَتِي فَوَعَاهَا , فَرُبَّ حَامِلِ فِقْهٍ لَيْسَ بِفَقِيهٍ. ثَلاثٌ لا يَغِلُّ عَلَيْهِنَّ قَلْبُ مُؤْمِنٍ : إِخْلاصُ الْعَمَلِ لِلَّهِ وَالنَّصِيحَةُ لأَئِمَّةِ الْمُسْلِمِينَ ، وَلُزُومُ جَمَاعَتِهِمْ ، فَإِنَّ دَعْوَتَهُمْ ، تُحِيطُ مَنْ وَرَاءَهُمْ. رواه البزار بإسناد حسن",আবু সাঈদ খুদরী (রাঃ) থেকে বর্ণিত:,"নবী (সাল্লাল্লাহু 'আলাইহি ওয়াসাল্লাম) বিদায় হজ্জে বলেনঃ ‘আল্লাহ তা’আলা ঐ ব্যক্তির মুখমন্ডল উজ্জল করুন (তাকে সম্মানিত করুন) যে ব্যক্তি আমার কথা শুনে তা মুখস্ত রেখেছে। কেননা এমন কতই না জ্ঞান বহনকারী রয়েছে, অথচ সে ফকীহ (জ্ঞানী) নয়। তিনটি বিষয়ে কোন মুমিন ব্যক্তির অন্তরে হিংসা প্রবেশ করতে পারে না। (১) আল্লাহর জন্য আমলকে একনিষ্ঠ করা। (২) মুসলমানদের নেতৃবৃন্দকে নসীহত করা। (৩) মুসলমানদের জামাতকে আকড়ে ধরা। কেননা তাদের দু’আ তাদের পরবর্তীদেরকেও বেষ্টন করে।’ (হাদীছটি বাযযার হাসান সনদে বর্ণনা করেন।)"
সহিহ তারগিব ওয়াত তাহরিব,৫,সহিহ হাদিস,,ইবনে হিব্বানও থেকে বর্ণিত:,"এ হাদীছটি ইবনে হিব্বানও {সহীহ} গ্রন্থে যায়েদ বিন ছাবেত থেকে বর্ণনা করেন। ‘হাদীছ শ্ৰবণ” অনুচ্ছেদে এর বর্ণনা আসবে ইনশাআল্লাহ। (হাফেজ আবদুল আযীম আল মুনযেরী বলেনঃ হাদীছটি আরো বর্ণিত হয়েছে- ইবনে মাসউদ, মুআয বিন জাবাল, নূমান বিন বাশীর, জুবায়র বিন মুতঈম, আবু দারদা ও আবু কুরছাফা জানদারা বিন খায়শানা ও আরো অনেক ছাহাবী (রাযিআল্লাহ আনহুম) থেকে এদের কিছু সনদ সহীহভাবে বর্ণিত হয়েছে।)"
সহিহ তারগিব ওয়াত তাহরিব,৬,সহিহ হাদিস,(صحيح) و عَنْ مُصْعَبِ بْنِ سَعْدٍ عَنْ أَبِيهِ رَضِيَ اللَّهُ عَنْهُ أَنَّهُ ظَنَّ أَنَّ لَهُ فَضْلًا عَلَى مَنْ دُونَهُ مِنْ أَصْحَابِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ نَبِيُّ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنَّمَا يَنْصُرُ اللَّهُ هَذِهِ الْأُمَّةَ بِضَعِيفِهَا بِدَعْوَتِهِمْ وَصَلَاتِهِمْ وَإِخْلَاصِهِمْ. رواه النسائي وغيره وهو في البخاري وغيره دون ذكر الإخلاص,মুসআব বিন সা’দ তার পিতা সা’দ (রাঃ) থেকে বর্ণিত:,"মুসআব বিন সা’দ তার পিতা সা’দ (রাঃ) থেকে বর্ণনা করেন। তিনি (সাদ) একবার মনে করলেন গণীমতের মালে রাসূলুল্লাহ (সাল্লাল্লাহু 'আলাইহি ওয়াসাল্লাম)এর অন্যান্য সাহাবীর তুলনায়- তার বেশী অধিকার আছে। তখন নবী (সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম) বললেনঃ ""আল্লাহ তো এই উম্মতের দূর্বল ব্যক্তিদের মাধ্যমে তাদেরকে সাহায্য করে থাকেন- তাদের দু’আ, সালাত ও (কৰ্মে) এখলাস তথা একনিষ্ঠতার মাধ্যমে।"" (হাদীছটি বর্ণনা করেছেন নাসাঈ ও আরো অনেকে। হাদীছটি সহীহ বুখারীতে রয়েছে। তবে সেখানে এখলাস শব্দের উল্লেখ নেই)"
সহিহ তারগিব ওয়াত তাহরিব,৭,সহিহ লিগাইরিহি,(صحيح لغيره) وَعَنْ الضحاك بن قيس قَالَ: قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ : إِنَّ اللَّهَ عَزَّ وَجَلَّ يَقُولُ أَنَا خَيْرُ شَرِيكٍ فَمَنْ أَشْرَكَ مَعِى شَرِيكًا فَهُوَ لِشَرِيكِى يَا أَيُّهَا النَّاسُ أَخْلِصُوا أَعْمَالَكُمْ لِلَّهِ عَزَّ وَجَلَّ فَإِنَّ اللَّهَ لاَ يَقْبَلُ إِلاَّ مَا أُخْلِصَ لَهُ وَلاَ تَقُولُوا هَذَا لِلَّهِ وَلِلرَّحِمِ فَإِنَّهَا لِلرَّحِمِ وَلَيْسَ لِلَّهِ مِنْهَا شَىْءٌ وَلاَ تَقُولُوا هَذَا لِلَّهِ وَلِوُجُوهِكُمْ فَإِنَّهَا لِوُجُوهِكُمْ وَلَيْسَ لِلَّهِ مِنْهَا شَىْءٌ. رواه البزار بإسناد لا بأس به والبيهقي,যাহহাক বিন ক্বায়স (রাঃ) থেকে বর্ণিত:,"তিনি বলেন, রাসূলুল্লাহ্ (সাল্লাল্লাহু 'আলাইহি ওয়াসাল্লাম) বলেছেনঃ “আল্লাহ তাবারাক ওয়া তা’আলা বলেন, আমি উত্তম শরীক । (কোন আমলে) আমার সাথে কেউ যদি শরীক করে তবে উহা আমার শরীকের জন্যেই সাব্যস্ত হবে। হে লোক সকল! তোমরা একনিষ্ঠভাবে আমল কর। কেননা আল্লাহ তাবরাক ওয়া তা'আলা একনিষ্ঠভাবে যা তার জন্যে করা হয় তা ব্যতীত অন্য কোন আমল কবূল করেন না। তোমরা এরূপ বলো না যে, এ আমলটি আল্লাহর জন্যে এবং আত্মীয়ের জন্যে। কেননা উহা আত্মীয়ের জন্যেই সাব্যস্ত হবে। তাতে আল্লাহর কোন অংশ থাকবে না। তোমরা এরূপ বলো না যে, এ আমলটি আল্লাহর জন্যে এবং তোমাদের সন্তুষ্টির জন্যে। কেননা উহা তোমাদের উদ্দেশ্যেই সাব্যস্ত হবে। তাতে আল্লাহর কোন অংশ থাকবে না।” (হাদীছটি বাযযার এবং বায়হাক্বী বর্ণনা করেছেন)"
সহিহ তারগিব ওয়াত তাহরিব,৮,হাসান হাদিস,(حسن ) وَعَنْ أَبِيْ أُماَمَةَ الْبَاهِلِيِّ قَالَ: جَاءَ رَجُلٌ إِلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ أَرَأَيْتَ رَجُلًا غَزَا يَلْتَمِسُ الْأَجْرَ وَالذِّكْرَ مَالَهُ فَقاَلَ رَسُوْلُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَا شَيْءَ لَهُ فَأَعَادَهَا ثَلَاثَ مَرَّاتٍ يَقُولُ لَهُ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَا شَيْءَ لَهُ ثُمَّ قَالَ إِنَّ اللَّهَ لَا يَقْبَلُ مِنْ الْعَمَلِ إِلَّا مَا كَانَ لَهُ خَالِصًا وَابْتُغِيَ بِهِ وَجْهُهُ. رواه أبو داود والنسائي بإسناد جيد,আবু উমামাহ (রাঃ) থেকে বর্ণিত:,"জনৈক ব্যক্তি রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম)এর নিকট এসে বললঃ এমন লোক সম্পর্কে আপনি কি মনে করেন, যে ছোয়াব ও প্রশংসা পাওয়ার উদ্দেশ্যে যুদ্ধ করে- সে কি প্রতিদান পাবে? রাসূলুল্লাহ (সাল্লাল্লাহু 'আলাইহি ওয়াসাল্লাম) বললেনঃ “তার জন্য কোনই প্রতিদান নেই। লোকটি তিন বার কথাটি পূণরাবৃত্তি করলে প্রতিবারই রাসূলুল্লাহ (সাল্লাল্লাহু 'আলাইহি ওয়াসাল্লাম) বললেনঃ তার জন্য কিছুই নেই। তারপর তিনি বললেনঃ আল্লাহ তা’আলা ইখলাছ ও তার সম্ভাষ্টির উদ্দেশ্য ছাড়া কোন আমল কবুল করবেন না।"" (হাদীছটি বর্ণনা করেছেন আবু দাউদ ও নাসাঈ উত্তম সনদে। এ ধরণের হাদীছ জিহাদ অধ্যায়ে আসবে ইনশাআল্লাহ)"
সহিহ তারগিব ওয়াত তাহরিব,৯,হাসান লিগাইরিহি,(حسن لغيره) وَعَنْ أبِيْ الدَّرْداَءِ عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قال: الدنيا ملعونة ملعون ما فيها إلا ما ابتغي به وجه الله تعالى. رواه الطبراني,আবু দারদা (রাঃ) থেকে বর্ণিত:,নবী রাসূলুল্লাহ (সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম) বলেন “দুনিয়া অভিশপ্ত। উহার মধ্যস্থিত সকল বস্তুও অভিশপ্ত। তবে যে কাজের মাধ্যমে আল্লাহ সন্তষ্টি কামনা করা হয় তা অভিশপ্ত নয়।” (হাদীছটি ত্বাবরানী বর্ণনা করেন।)
সহিহ তারগিব ওয়াত তাহরিব,১০,সহিহ হাদিস,(صحيح) عن عمر بن الخطاب رَضِيَ اللَّهُ عَنْهُ قال: سمعت رسول الله صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يقول: إِنَّمَا الْأَعْمَالُ بالنية وفي رواية بِالنِّيَّاتِ وَإِنَّمَا لِامْرِئٍ مَا نَوَى فَمَنْ كَانَتْ هِجْرَتُهُ إِلَى اللَّهِ وَرَسُولِهِ فَهِجْرَتُهُ إِلَى اللَّهِ وَرَسُولِهِ وَمَنْ كَانَتْ هِجْرَتُهُ إِلَى دُنْيَا يُصِيبُهَا أَوْ امْرَأَةٍ يَنْكِحُهَا فَهِجْرَتُهُ إِلَى مَا هَاجَرَ إِلَيْهِ. رواه البخاري ومسلم وأبو داود والترمذي والنسائي,ওমার বিন খাত্তাব (রাঃ) থেকে বর্ণিত:,"তিনি বলেনঃ আমি রাসূলুল্লাহ রাসূলুল্লাহ (সাল্লাল্লাহু 'আলাইহি ওয়াসাল্লাম) কে একথা বলতে শুনেছিঃ ‘যাবতীয় আমল (শুদ্ধ না অশুদ্ধ তা) নিয়তের উপর নির্ভরশীল। প্রত্যেক ব্যক্তি যা নিয়ত করে তাই রয়েছে তার জন্য। সুতরাং যে ব্যক্তি আল্লাহ এবং তার রাসূলের প্রতি হিজরত করবে তার হিজরত আল্লাহ ও তার রাসূলের প্রতি বলেই গণ্য হবে। আর যে ব্যক্তির হিজরত দুনিয়া অর্জন বা কোন মহিলাকে বিবাহ করার উদ্দেশ্য হবে, তার হিজরত যে উদ্দেশ্য করেছে সে দিকেই গণ্য হবে।’ (হাদীছটি বর্ণনা করেছেন বুখারী, মুসলিম, আবু দাউদ, তিরমিয়ী, নাসাঈ)"
